date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2016,クチコミ総合評価,2.98
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2017,クチコミ総合評価,3.01
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2018,クチコミ総合評価,3.04
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2019,クチコミ総合評価,3.09
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2020,クチコミ総合評価,3.17
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2021,クチコミ総合評価,3.13
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2022,クチコミ総合評価,3.17
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2023,クチコミ総合評価,3.26
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2024,クチコミ総合評価,3.59
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2025,クチコミ総合評価,3.42
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2016,待遇面の満足度,3.14
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2017,待遇面の満足度,3.14
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2018,待遇面の満足度,3.24
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2019,待遇面の満足度,3.26
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2020,待遇面の満足度,3.39
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2021,待遇面の満足度,3.37
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2022,待遇面の満足度,3.43
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2023,待遇面の満足度,3.79
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2024,待遇面の満足度,3.7
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2025,待遇面の満足度,3.77
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2016,社員の士気,2.55
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2017,社員の士気,2.61
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2018,社員の士気,2.67
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2019,社員の士気,2.76
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2020,社員の士気,2.67
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2021,社員の士気,2.52
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2022,社員の士気,2.59
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2023,社員の士気,2.56
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2024,社員の士気,2.69
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2025,社員の士気,2.57
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2016,風通しの良さ,2.86
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2017,風通しの良さ,2.88
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2018,風通しの良さ,2.75
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2019,風通しの良さ,2.8
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2020,風通しの良さ,2.82
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2021,風通しの良さ,2.74
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2022,風通しの良さ,2.68
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2023,風通しの良さ,2.72
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2024,風通しの良さ,3.15
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2025,風通しの良さ,3
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2016,社員の相互尊重,2.95
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2017,社員の相互尊重,2.91
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2018,社員の相互尊重,2.94
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2019,社員の相互尊重,2.91
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2020,社員の相互尊重,2.9
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2021,社員の相互尊重,2.9
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2022,社員の相互尊重,2.82
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2023,社員の相互尊重,2.72
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2024,社員の相互尊重,3
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2025,社員の相互尊重,2.86
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2016,20代成長環境,2.68
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2017,20代成長環境,2.71
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2018,20代成長環境,2.65
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2019,20代成長環境,2.76
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2020,20代成長環境,2.85
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2021,20代成長環境,2.81
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2022,20代成長環境,2.86
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2023,20代成長環境,2.94
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2024,20代成長環境,3.57
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2025,20代成長環境,3.28
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2016,人材の長期育成,2.59
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2017,人材の長期育成,2.63
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2018,人材の長期育成,2.63
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2019,人材の長期育成,2.6
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2020,人材の長期育成,2.72
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2021,人材の長期育成,2.71
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2022,人材の長期育成,2.86
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2023,人材の長期育成,2.94
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2024,人材の長期育成,3.43
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2025,人材の長期育成,2.86
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2016,法令順守意識,3.93
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2017,法令順守意識,3.95
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2018,法令順守意識,4.08
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2019,法令順守意識,4.23
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2020,法令順守意識,4.33
2025/6/30,トプコン,7732,TOPIX Mid400,a0910000000Frc5,2021,法令順守意識,4.13
