date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2016,クチコミ総合評価,3.49
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2017,クチコミ総合評価,3.5
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2018,クチコミ総合評価,3.54
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2019,クチコミ総合評価,3.67
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2020,クチコミ総合評価,3.72
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2021,クチコミ総合評価,3.87
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2022,クチコミ総合評価,3.75
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2023,クチコミ総合評価,3.86
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2024,クチコミ総合評価,3.61
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2025,クチコミ総合評価,3.01
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2016,待遇面の満足度,4.5
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2017,待遇面の満足度,4.46
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2018,待遇面の満足度,4.47
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2019,待遇面の満足度,4.47
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2020,待遇面の満足度,4.46
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2021,待遇面の満足度,4.5
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2022,待遇面の満足度,4.54
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2023,待遇面の満足度,4.65
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2024,待遇面の満足度,4.65
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2025,待遇面の満足度,3.88
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2016,社員の士気,2.6
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2017,社員の士気,2.68
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2018,社員の士気,2.81
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2019,社員の士気,2.84
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2020,社員の士気,2.81
2025/6/30,ＳＣＲＥＥＮホールディングス,7735,TOPIX Mid400,a0910000000Frc8,2021,社員の士気,2.84
