date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2016,クチコミ総合評価,2.86
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2017,クチコミ総合評価,2.89
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2018,クチコミ総合評価,2.97
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2019,クチコミ総合評価,3.04
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2020,クチコミ総合評価,3.07
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2021,クチコミ総合評価,3.17
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2022,クチコミ総合評価,3.34
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2023,クチコミ総合評価,3.33
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2024,クチコミ総合評価,3.29
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2025,クチコミ総合評価,2.97
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2016,待遇面の満足度,3.06
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2017,待遇面の満足度,3.01
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2018,待遇面の満足度,3.11
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2019,待遇面の満足度,3.06
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2020,待遇面の満足度,2.99
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2021,待遇面の満足度,2.97
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2022,待遇面の満足度,3.11
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2023,待遇面の満足度,3.49
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2024,待遇面の満足度,3.56
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2025,待遇面の満足度,3
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2016,社員の士気,2.55
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2017,社員の士気,2.59
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2018,社員の士気,2.73
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2019,社員の士気,2.81
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2020,社員の士気,2.81
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2021,社員の士気,2.86
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2022,社員の士気,2.98
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2023,社員の士気,3
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2024,社員の士気,3
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2025,社員の士気,2.8
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2016,風通しの良さ,2.67
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2017,風通しの良さ,2.66
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2018,風通しの良さ,2.71
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2019,風通しの良さ,2.8
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2020,風通しの良さ,2.83
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2021,風通しの良さ,2.93
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2022,風通しの良さ,3
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2023,風通しの良さ,3
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2024,風通しの良さ,2.96
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2025,風通しの良さ,2.8
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2016,社員の相互尊重,2.58
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2017,社員の相互尊重,2.62
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2018,社員の相互尊重,2.71
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2019,社員の相互尊重,2.82
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2020,社員の相互尊重,2.86
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2021,社員の相互尊重,3.03
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2022,社員の相互尊重,3.37
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2023,社員の相互尊重,3
2025/6/30,ＨＯＹＡ,7741,TOPIX Core30,a0910000000FrcC,2024,社員の相互尊重,3.17
