date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2016,クチコミ総合評価,3.77
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2017,クチコミ総合評価,3.78
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2018,クチコミ総合評価,3.77
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2019,クチコミ総合評価,3.91
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2020,クチコミ総合評価,4
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2021,クチコミ総合評価,4.03
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2022,クチコミ総合評価,4.04
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2023,クチコミ総合評価,3.88
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2024,クチコミ総合評価,4.03
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2025,クチコミ総合評価,4.08
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2016,待遇面の満足度,3.74
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2017,待遇面の満足度,3.86
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2018,待遇面の満足度,3.77
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2019,待遇面の満足度,3.88
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2020,待遇面の満足度,4.03
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2021,待遇面の満足度,4.2
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2022,待遇面の満足度,4.16
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2023,待遇面の満足度,3.98
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2024,待遇面の満足度,4.13
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2025,待遇面の満足度,3.88
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2016,社員の士気,3.57
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2017,社員の士気,3.64
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2018,社員の士気,3.59
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2019,社員の士気,3.79
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2020,社員の士気,3.89
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2021,社員の士気,3.93
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2022,社員の士気,4.01
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2023,社員の士気,3.82
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2024,社員の士気,3.99
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2025,社員の士気,4.32
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2016,風通しの良さ,3.74
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2017,風通しの良さ,3.78
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2018,風通しの良さ,3.85
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2019,風通しの良さ,4.02
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2020,風通しの良さ,4.03
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2021,風通しの良さ,4
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2022,風通しの良さ,3.97
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2023,風通しの良さ,3.88
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2024,風通しの良さ,3.91
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2025,風通しの良さ,4.11
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2016,社員の相互尊重,3.25
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2017,社員の相互尊重,3.25
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2018,社員の相互尊重,3.44
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2019,社員の相互尊重,3.76
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2020,社員の相互尊重,3.92
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2021,社員の相互尊重,4.07
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2022,社員の相互尊重,4.12
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2023,社員の相互尊重,3.93
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2024,社員の相互尊重,3.99
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2025,社員の相互尊重,4.32
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2016,20代成長環境,3.74
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2017,20代成長環境,3.84
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2018,20代成長環境,3.83
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2019,20代成長環境,3.98
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2020,20代成長環境,3.92
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2021,20代成長環境,3.7
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2022,20代成長環境,3.69
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2023,20代成長環境,3.53
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2024,20代成長環境,3.75
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2025,20代成長環境,3.61
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2016,人材の長期育成,2.82
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2017,人材の長期育成,2.74
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2018,人材の長期育成,2.74
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2019,人材の長期育成,2.79
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2020,人材の長期育成,2.92
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2021,人材の長期育成,2.95
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2022,人材の長期育成,2.92
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2023,人材の長期育成,2.82
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2024,人材の長期育成,3
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2025,人材の長期育成,3.32
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2016,法令順守意識,4.36
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2017,法令順守意識,4.36
2025/6/30,バンダイナムコホールディングス,7832,TOPIX Large70,a0910000000G28N,2018,法令順守意識,4.35
