date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2014,クチコミ総合評価,3.15
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2015,クチコミ総合評価,3.16
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2016,クチコミ総合評価,3.15
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2017,クチコミ総合評価,3.18
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2018,クチコミ総合評価,3.26
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2019,クチコミ総合評価,3.28
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2020,クチコミ総合評価,3.37
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2021,クチコミ総合評価,3.37
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2022,クチコミ総合評価,3.49
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2023,クチコミ総合評価,3.49
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2014,待遇面の満足度,2.41
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2015,待遇面の満足度,2.4
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2016,待遇面の満足度,2.39
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2017,待遇面の満足度,2.48
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2018,待遇面の満足度,2.47
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2019,待遇面の満足度,2.45
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2020,待遇面の満足度,2.44
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2021,待遇面の満足度,2.35
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2022,待遇面の満足度,2.25
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2023,待遇面の満足度,2.25
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2014,社員の士気,2.97
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2015,社員の士気,2.98
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2016,社員の士気,3.24
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2017,社員の士気,3.28
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2018,社員の士気,3.46
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2019,社員の士気,3.57
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2020,社員の士気,3.61
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2021,社員の士気,3.64
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2022,社員の士気,4.05
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2023,社員の士気,4.05
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2014,風通しの良さ,3.9
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2015,風通しの良さ,3.86
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2016,風通しの良さ,3.68
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2017,風通しの良さ,3.59
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2018,風通しの良さ,3.59
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2019,風通しの良さ,3.53
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2020,風通しの良さ,3.48
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2021,風通しの良さ,3.54
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2022,風通しの良さ,3.47
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2023,風通しの良さ,3.47
2025/6/30,タカラトミー,7867,TOPIX Mid400,a0910000000Freq,2014,社員の相互尊重,3.52
