date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2016,クチコミ総合評価,3.63
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2017,クチコミ総合評価,3.57
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2018,クチコミ総合評価,3.6
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2019,クチコミ総合評価,3.74
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2020,クチコミ総合評価,3.78
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2021,クチコミ総合評価,3.91
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2022,クチコミ総合評価,3.98
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2023,クチコミ総合評価,3.53
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2024,クチコミ総合評価,3.47
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2025,クチコミ総合評価,3.55
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2016,待遇面の満足度,3.32
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2017,待遇面の満足度,3.23
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2018,待遇面の満足度,3.29
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2019,待遇面の満足度,3.22
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2020,待遇面の満足度,3.34
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2021,待遇面の満足度,3.49
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2022,待遇面の満足度,3.7
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2023,待遇面の満足度,3.45
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2024,待遇面の満足度,3.49
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2025,待遇面の満足度,3.45
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2016,社員の士気,3.45
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2017,社員の士気,3.35
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2018,社員の士気,3.3
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2019,社員の士気,3.44
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2020,社員の士気,3.35
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2021,社員の士気,3.55
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2022,社員の士気,3.72
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2023,社員の士気,3.12
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2024,社員の士気,3.18
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2025,社員の士気,3.47
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2016,風通しの良さ,3.82
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2017,風通しの良さ,3.77
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2018,風通しの良さ,3.9
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2019,風通しの良さ,4.14
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2020,風通しの良さ,4.24
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2021,風通しの良さ,4.29
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2022,風通しの良さ,4.24
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2023,風通しの良さ,3.88
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2024,風通しの良さ,3.66
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2025,風通しの良さ,3.88
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2016,社員の相互尊重,3.85
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2017,社員の相互尊重,3.95
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2018,社員の相互尊重,4
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2019,社員の相互尊重,4.31
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2020,社員の相互尊重,4.24
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2021,社員の相互尊重,4.26
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2022,社員の相互尊重,4.24
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2023,社員の相互尊重,3.88
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2024,社員の相互尊重,3.81
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2025,社員の相互尊重,3.88
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2016,20代成長環境,3.1
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2017,20代成長環境,2.95
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2018,20代成長環境,2.93
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2019,20代成長環境,3.23
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2020,20代成長環境,3.27
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2021,20代成長環境,3.26
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2022,20代成長環境,3.2
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2023,20代成長環境,2.75
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2024,20代成長環境,2.64
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2025,20代成長環境,2.5
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2016,人材の長期育成,2.83
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2017,人材の長期育成,2.77
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2018,人材の長期育成,2.78
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2019,人材の長期育成,2.82
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2020,人材の長期育成,2.81
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2021,人材の長期育成,2.92
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2022,人材の長期育成,3
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2023,人材の長期育成,2.5
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2024,人材の長期育成,2.45
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2025,人材の長期育成,2.5
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2016,法令順守意識,4.79
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2017,法令順守意識,4.83
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2018,法令順守意識,4.85
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2019,法令順守意識,4.86
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2020,法令順守意識,4.82
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2021,法令順守意識,4.77
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2022,法令順守意識,4.8
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2023,法令順守意識,4.67
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2024,法令順守意識,4.59
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2025,法令順守意識,4.5
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2016,人事評価の適正感,2.81
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2017,人事評価の適正感,2.75
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2018,人事評価の適正感,2.81
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2019,人事評価の適正感,2.86
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2020,人事評価の適正感,3
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2021,人事評価の適正感,3.31
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2022,人事評価の適正感,3.44
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2023,人事評価の適正感,3
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2024,人事評価の適正感,2.91
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2025,人事評価の適正感,3
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2016,有給休暇消化率,65.43
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2017,有給休暇消化率,67.85
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2018,有給休暇消化率,69.4
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2019,有給休暇消化率,72.16
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2020,有給休暇消化率,73.49
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2021,有給休暇消化率,74.46
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2022,有給休暇消化率,74.17
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2023,有給休暇消化率,74.69
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2024,有給休暇消化率,80.91
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2025,有給休暇消化率,82.5
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2016,残業時間(月間),20.5
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2017,残業時間(月間),19.45
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2018,残業時間(月間),20.36
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2019,残業時間(月間),20.16
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2020,残業時間(月間),20.42
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2021,残業時間(月間),21.97
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2022,残業時間(月間),19.77
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2023,残業時間(月間),19.38
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2024,残業時間(月間),20
2025/6/30,アシックス,7936,TOPIX Mid400,a0910000000Frfn,2025,残業時間(月間),25
