date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2016,クチコミ総合評価,3.74
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2017,クチコミ総合評価,3.75
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2018,クチコミ総合評価,3.86
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2019,クチコミ総合評価,3.87
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2020,クチコミ総合評価,3.88
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2021,クチコミ総合評価,3.83
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2022,クチコミ総合評価,3.88
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2023,クチコミ総合評価,3.48
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2024,クチコミ総合評価,3.28
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2025,クチコミ総合評価,3.35
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2016,待遇面の満足度,4.28
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2017,待遇面の満足度,4.21
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2018,待遇面の満足度,4.19
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2019,待遇面の満足度,4.11
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2020,待遇面の満足度,4.17
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2021,待遇面の満足度,3.99
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2022,待遇面の満足度,3.96
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2023,待遇面の満足度,3.26
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2024,待遇面の満足度,2.93
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2025,待遇面の満足度,3
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2016,社員の士気,3.77
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2017,社員の士気,3.84
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2018,社員の士気,4.03
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2019,社員の士気,4.08
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2020,社員の士気,4.1
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2021,社員の士気,4.13
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2022,社員の士気,4.21
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2023,社員の士気,3.94
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2024,社員の士気,3.65
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2025,社員の士気,3.61
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2016,風通しの良さ,3.54
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2017,風通しの良さ,3.66
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2018,風通しの良さ,3.83
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2019,風通しの良さ,3.86
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2020,風通しの良さ,3.81
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2021,風通しの良さ,3.75
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2022,風通しの良さ,3.73
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2023,風通しの良さ,3.09
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2024,風通しの良さ,2.86
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2025,風通しの良さ,3
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2016,社員の相互尊重,3.82
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2017,社員の相互尊重,3.79
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2018,社員の相互尊重,4.03
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2019,社員の相互尊重,3.86
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2020,社員の相互尊重,3.94
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2021,社員の相互尊重,3.95
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2022,社員の相互尊重,4.01
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2023,社員の相互尊重,3.94
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2024,社員の相互尊重,3.88
2025/6/30,任天堂,7974,TOPIX Core30,a0910000000FrgK,2025,社員の相互尊重,4.11
