date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2016,クチコミ総合評価,4.31
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2017,クチコミ総合評価,4.31
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2018,クチコミ総合評価,4.31
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2019,クチコミ総合評価,4.29
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2020,クチコミ総合評価,4.33
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2021,クチコミ総合評価,4.34
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2022,クチコミ総合評価,4.37
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2023,クチコミ総合評価,4.34
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2024,クチコミ総合評価,4.34
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2025,クチコミ総合評価,4.31
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2016,待遇面の満足度,4.71
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2017,待遇面の満足度,4.68
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2018,待遇面の満足度,4.67
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2019,待遇面の満足度,4.64
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2020,待遇面の満足度,4.64
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2021,待遇面の満足度,4.63
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2022,待遇面の満足度,4.55
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2023,待遇面の満足度,4.49
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2024,待遇面の満足度,4.5
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2025,待遇面の満足度,4.5
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2016,社員の士気,4.13
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2017,社員の士気,4.12
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2018,社員の士気,4.11
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2019,社員の士気,4.05
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2020,社員の士気,4.07
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2021,社員の士気,4.06
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2022,社員の士気,4.06
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2023,社員の士気,4.08
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2024,社員の士気,4.09
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2025,社員の士気,4.28
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2016,風通しの良さ,3.87
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2017,風通しの良さ,3.88
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2018,風通しの良さ,3.91
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2019,風通しの良さ,3.96
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2020,風通しの良さ,4.03
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2021,風通しの良さ,4.09
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2022,風通しの良さ,4.13
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2023,風通しの良さ,3.98
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2024,風通しの良さ,3.97
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2025,風通しの良さ,4.09
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2016,社員の相互尊重,3.7
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2017,社員の相互尊重,3.75
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2018,社員の相互尊重,3.79
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2019,社員の相互尊重,3.81
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2020,社員の相互尊重,3.86
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2021,社員の相互尊重,3.9
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2022,社員の相互尊重,4
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2023,社員の相互尊重,3.92
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2024,社員の相互尊重,3.81
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2025,社員の相互尊重,3.64
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2016,20代成長環境,4.08
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2017,20代成長環境,4.03
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2018,20代成長環境,3.92
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2019,20代成長環境,3.89
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2020,20代成長環境,3.91
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2021,20代成長環境,3.92
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2022,20代成長環境,3.95
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2023,20代成長環境,3.98
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2024,20代成長環境,3.97
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2025,20代成長環境,3.88
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2016,人材の長期育成,3.66
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2017,人材の長期育成,3.65
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2018,人材の長期育成,3.7
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2019,人材の長期育成,3.68
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2020,人材の長期育成,3.73
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2021,人材の長期育成,3.66
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2022,人材の長期育成,3.7
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2023,人材の長期育成,3.72
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2024,人材の長期育成,3.81
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2025,人材の長期育成,3.56
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2016,法令順守意識,4.64
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2017,法令順守意識,4.65
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2018,法令順守意識,4.71
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2019,法令順守意識,4.74
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2020,法令順守意識,4.77
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2021,法令順守意識,4.81
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2022,法令順守意識,4.83
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2023,法令順守意識,4.78
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2024,法令順守意識,4.71
2025/6/30,伊藤忠商事,8001,TOPIX Core30,a0910000000Frgg,2025,法令順守意識,4.88
