date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2016,クチコミ総合評価,3.5
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2017,クチコミ総合評価,3.52
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2018,クチコミ総合評価,3.51
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2019,クチコミ総合評価,3.53
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2020,クチコミ総合評価,3.71
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2021,クチコミ総合評価,3.85
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2022,クチコミ総合評価,3.86
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2023,クチコミ総合評価,3.65
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2024,クチコミ総合評価,3.87
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2025,クチコミ総合評価,4.13
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2016,待遇面の満足度,4.16
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2017,待遇面の満足度,4.26
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2018,待遇面の満足度,4.28
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2019,待遇面の満足度,4.32
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2020,待遇面の満足度,4.38
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2021,待遇面の満足度,4.35
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2022,待遇面の満足度,4.5
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2023,待遇面の満足度,4.5
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2024,待遇面の満足度,4.67
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2025,待遇面の満足度,4.78
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2016,社員の士気,2.98
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2017,社員の士気,2.99
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2018,社員の士気,3.03
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2019,社員の士気,3.15
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2020,社員の士気,3.33
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2021,社員の士気,3.39
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2022,社員の士気,3.26
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2023,社員の士気,2.88
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2024,社員の士気,3.18
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2025,社員の士気,3.32
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2016,風通しの良さ,3.41
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2017,風通しの良さ,3.5
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2018,風通しの良さ,3.65
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2019,風通しの良さ,3.65
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2020,風通しの良さ,3.92
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2021,風通しの良さ,3.95
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2022,風通しの良さ,4.19
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2023,風通しの良さ,4.24
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2024,風通しの良さ,4.3
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2025,風通しの良さ,4.5
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2016,社員の相互尊重,3.13
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2017,社員の相互尊重,3.14
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2018,社員の相互尊重,3.17
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2019,社員の相互尊重,3.2
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2020,社員の相互尊重,3.43
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2021,社員の相互尊重,3.74
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2022,社員の相互尊重,3.73
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2023,社員の相互尊重,3.34
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2024,社員の相互尊重,3.94
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2025,社員の相互尊重,4.5
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2016,20代成長環境,3.49
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2017,20代成長環境,3.45
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2018,20代成長環境,3.27
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2019,20代成長環境,3.03
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2020,20代成長環境,3.15
2025/6/30,長瀬産業,8012,TOPIX Mid400,a0910000000Frgn,2021,20代成長環境,3.39
