date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2016,クチコミ総合評価,3.92
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2017,クチコミ総合評価,3.92
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2018,クチコミ総合評価,3.91
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2019,クチコミ総合評価,3.94
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2020,クチコミ総合評価,3.9
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2021,クチコミ総合評価,4.06
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2022,クチコミ総合評価,4.12
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2023,クチコミ総合評価,4.51
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2024,クチコミ総合評価,4.4
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2025,クチコミ総合評価,3.89
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2016,待遇面の満足度,3.71
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2017,待遇面の満足度,3.77
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2018,待遇面の満足度,3.83
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2019,待遇面の満足度,3.88
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2020,待遇面の満足度,3.79
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2021,待遇面の満足度,3.81
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2022,待遇面の満足度,3.9
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2023,待遇面の満足度,4.4
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2024,待遇面の満足度,4.37
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2025,待遇面の満足度,4.78
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2016,社員の士気,3.46
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2017,社員の士気,3.4
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2018,社員の士気,3.32
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2019,社員の士気,3.25
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2020,社員の士気,3.31
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2021,社員の士気,3.56
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2022,社員の士気,3.48
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2023,社員の士気,3.77
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2024,社員の士気,3.68
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2025,社員の士気,2.67
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2016,風通しの良さ,4.42
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2017,風通しの良さ,4.4
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2018,風通しの良さ,4.5
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2019,風通しの良さ,4.56
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2020,風通しの良さ,4.5
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2021,風通しの良さ,4.58
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2022,風通しの良さ,4.63
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2023,風通しの良さ,4.71
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2024,風通しの良さ,4.72
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2025,風通しの良さ,4.78
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2016,社員の相互尊重,3.82
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2017,社員の相互尊重,3.86
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2018,社員の相互尊重,3.88
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2019,社員の相互尊重,3.97
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2020,社員の相互尊重,3.79
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2021,社員の相互尊重,3.88
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2022,社員の相互尊重,3.9
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2023,社員の相互尊重,4.29
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2024,社員の相互尊重,4.5
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2025,社員の相互尊重,4.11
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2016,20代成長環境,4.24
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2017,20代成長環境,4.25
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2018,20代成長環境,4.21
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2019,20代成長環境,4.23
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2020,20代成長環境,4.08
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2021,20代成長環境,4.26
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2022,20代成長環境,4.35
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2023,20代成長環境,4.45
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2024,20代成長環境,4.22
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2025,20代成長環境,4.11
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2016,人材の長期育成,3.11
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2017,人材の長期育成,3.11
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2018,人材の長期育成,3.08
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2019,人材の長期育成,3.16
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2020,人材の長期育成,3.17
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2021,人材の長期育成,3.49
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2022,人材の長期育成,3.67
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2023,人材の長期育成,4.17
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2024,人材の長期育成,3.88
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2025,人材の長期育成,3
2025/6/30,兼松,8020,TOPIX Mid400,a0910000000Frgu,2016,法令順守意識,4.15
