date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2016,クチコミ総合評価,4.38
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2017,クチコミ総合評価,4.38
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2018,クチコミ総合評価,4.39
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2019,クチコミ総合評価,4.44
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2020,クチコミ総合評価,4.5
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2021,クチコミ総合評価,4.54
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2022,クチコミ総合評価,4.58
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2023,クチコミ総合評価,4.73
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2024,クチコミ総合評価,4.75
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2025,クチコミ総合評価,4.85
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2016,待遇面の満足度,4.74
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2017,待遇面の満足度,4.73
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2018,待遇面の満足度,4.76
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2019,待遇面の満足度,4.79
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2020,待遇面の満足度,4.83
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2021,待遇面の満足度,4.8
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2022,待遇面の満足度,4.85
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2023,待遇面の満足度,4.9
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2024,待遇面の満足度,4.92
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2025,待遇面の満足度,4.9
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2016,社員の士気,4.02
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2017,社員の士気,3.99
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2018,社員の士気,3.97
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2019,社員の士気,4.04
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2020,社員の士気,4.09
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2021,社員の士気,4.13
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2022,社員の士気,4.13
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2023,社員の士気,4.44
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2024,社員の士気,4.52
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2025,社員の士気,4.55
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2016,風通しの良さ,4.14
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2017,風通しの良さ,4.16
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2018,風通しの良さ,4.16
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2019,風通しの良さ,4.16
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2020,風通しの良さ,4.23
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2021,風通しの良さ,4.27
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2022,風通しの良さ,4.33
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2023,風通しの良さ,4.57
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2024,風通しの良さ,4.62
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2025,風通しの良さ,4.7
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2016,社員の相互尊重,4.09
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2017,社員の相互尊重,4.13
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2018,社員の相互尊重,4.13
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2019,社員の相互尊重,4.12
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2020,社員の相互尊重,4.17
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2021,社員の相互尊重,4.21
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2022,社員の相互尊重,4.26
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2023,社員の相互尊重,4.37
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2024,社員の相互尊重,4.48
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2025,社員の相互尊重,4.7
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2016,20代成長環境,4.09
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2017,20代成長環境,4.03
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2018,20代成長環境,3.97
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2019,20代成長環境,4.01
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2020,20代成長環境,4.11
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2021,20代成長環境,4.14
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2022,20代成長環境,4.17
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2023,20代成長環境,4.44
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2024,20代成長環境,4.5
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2025,20代成長環境,4.7
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2016,人材の長期育成,3.93
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2017,人材の長期育成,3.95
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2018,人材の長期育成,3.96
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2019,人材の長期育成,4.04
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2020,人材の長期育成,4.14
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2021,人材の長期育成,4.25
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2022,人材の長期育成,4.26
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2023,人材の長期育成,4.49
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2024,人材の長期育成,4.46
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2025,人材の長期育成,4.6
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2016,法令順守意識,4.81
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2017,法令順守意識,4.82
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2018,法令順守意識,4.82
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2019,法令順守意識,4.82
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2020,法令順守意識,4.82
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2021,法令順守意識,4.81
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2022,法令順守意識,4.84
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2023,法令順守意識,4.9
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2024,法令順守意識,4.91
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2025,法令順守意識,4.94
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2016,人事評価の適正感,3.31
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2017,人事評価の適正感,3.31
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2018,人事評価の適正感,3.46
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2019,人事評価の適正感,3.6
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2020,人事評価の適正感,3.67
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2021,人事評価の適正感,3.76
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2022,人事評価の適正感,3.83
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2023,人事評価の適正感,4.04
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2024,人事評価の適正感,3.94
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2025,人事評価の適正感,4.25
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2016,有給休暇消化率,60.14
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2017,有給休暇消化率,61.76
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2018,有給休暇消化率,63.11
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2019,有給休暇消化率,62.68
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2020,有給休暇消化率,62.44
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2021,有給休暇消化率,63.37
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2022,有給休暇消化率,65.27
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2023,有給休暇消化率,66.69
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2024,有給休暇消化率,69.27
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2025,有給休暇消化率,66.11
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2016,残業時間(月間),30.89
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2017,残業時間(月間),31.21
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2018,残業時間(月間),29.28
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2019,残業時間(月間),29.58
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2020,残業時間(月間),29.78
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2021,残業時間(月間),28.95
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2022,残業時間(月間),30.35
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2023,残業時間(月間),33.19
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2024,残業時間(月間),35.63
2025/6/30,三井物産,8031,TOPIX Core30,a0910000000Frh3,2025,残業時間(月間),44.44
