date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2016,クチコミ総合評価,3.73
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2017,クチコミ総合評価,3.88
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2018,クチコミ総合評価,4.01
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2019,クチコミ総合評価,4.1
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2020,クチコミ総合評価,4.15
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2021,クチコミ総合評価,3.99
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2022,クチコミ総合評価,4
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2023,クチコミ総合評価,4.29
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2024,クチコミ総合評価,4.56
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2025,クチコミ総合評価,4.76
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2016,待遇面の満足度,3.88
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2017,待遇面の満足度,4.2
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2018,待遇面の満足度,4.33
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2019,待遇面の満足度,4.45
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2020,待遇面の満足度,4.45
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2021,待遇面の満足度,4.41
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2022,待遇面の満足度,4.42
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2023,待遇面の満足度,4.63
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2024,待遇面の満足度,4.7
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2025,待遇面の満足度,4.91
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2016,社員の士気,3.3
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2017,社員の士気,3.43
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2018,社員の士気,3.51
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2019,社員の士気,3.56
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2020,社員の士気,3.53
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2021,社員の士気,3.4
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2022,社員の士気,3.56
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2023,社員の士気,3.88
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2024,社員の士気,4.08
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2025,社員の士気,4.22
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2016,風通しの良さ,3.77
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2017,風通しの良さ,3.92
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2018,風通しの良さ,4.12
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2019,風通しの良さ,4.23
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2020,風通しの良さ,4.23
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2021,風通しの良さ,4.18
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2022,風通しの良さ,4.13
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2023,風通しの良さ,4.23
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2024,風通しの良さ,4.47
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2025,風通しの良さ,4.78
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2016,社員の相互尊重,3.45
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2017,社員の相互尊重,3.52
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2018,社員の相互尊重,3.65
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2019,社員の相互尊重,3.71
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2020,社員の相互尊重,3.76
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2021,社員の相互尊重,3.55
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2022,社員の相互尊重,3.42
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2023,社員の相互尊重,3.73
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2024,社員の相互尊重,4.13
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2025,社員の相互尊重,4.5
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2016,20代成長環境,3.55
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2017,20代成長環境,3.6
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2018,20代成長環境,3.69
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2019,20代成長環境,3.66
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2020,20代成長環境,3.56
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2021,20代成長環境,3.2
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2022,20代成長環境,3.31
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2023,20代成長環境,3.69
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2024,20代成長環境,4.25
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2025,20代成長環境,4.41
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2016,人材の長期育成,2.63
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2017,人材の長期育成,2.66
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2018,人材の長期育成,2.78
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2019,人材の長期育成,2.92
2025/6/30,東京エレクトロン,8035,TOPIX Core30,a0910000000Frh5,2020,人材の長期育成,3.17
