date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2016,クチコミ総合評価,3.91
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2017,クチコミ総合評価,3.9
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2018,クチコミ総合評価,3.92
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2019,クチコミ総合評価,3.97
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2020,クチコミ総合評価,3.99
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2021,クチコミ総合評価,4.03
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2022,クチコミ総合評価,4.1
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2023,クチコミ総合評価,4.18
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2024,クチコミ総合評価,4.27
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2025,クチコミ総合評価,4.35
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2016,待遇面の満足度,4.76
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2017,待遇面の満足度,4.77
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2018,待遇面の満足度,4.76
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2019,待遇面の満足度,4.78
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2020,待遇面の満足度,4.79
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2021,待遇面の満足度,4.81
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2022,待遇面の満足度,4.81
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2023,待遇面の満足度,4.82
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2024,待遇面の満足度,4.85
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2025,待遇面の満足度,4.9
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2016,社員の士気,3.2
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2017,社員の士気,3.18
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2018,社員の士気,3.16
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2019,社員の士気,3.24
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2020,社員の士気,3.28
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2021,社員の士気,3.28
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2022,社員の士気,3.32
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2023,社員の士気,3.44
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2024,社員の士気,3.53
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2025,社員の士気,3.67
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2016,風通しの良さ,3.46
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2017,風通しの良さ,3.52
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2018,風通しの良さ,3.6
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2019,風通しの良さ,3.68
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2020,風通しの良さ,3.7
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2021,風通しの良さ,3.74
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2022,風通しの良さ,3.85
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2023,風通しの良さ,3.93
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2024,風通しの良さ,4.03
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2025,風通しの良さ,4.01
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2016,社員の相互尊重,4.17
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2017,社員の相互尊重,4.17
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2018,社員の相互尊重,4.18
2025/6/30,住友商事,8053,TOPIX Large70,a0910000000FrhL,2019,社員の相互尊重,4.27
