date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2016,クチコミ総合評価,4.33
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2017,クチコミ総合評価,4.36
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2018,クチコミ総合評価,4.35
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2019,クチコミ総合評価,4.34
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2020,クチコミ総合評価,4.36
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2021,クチコミ総合評価,4.4
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2022,クチコミ総合評価,4.52
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2023,クチコミ総合評価,4.6
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2024,クチコミ総合評価,4.54
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2025,クチコミ総合評価,4.59
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2016,待遇面の満足度,4.83
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2017,待遇面の満足度,4.85
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2018,待遇面の満足度,4.83
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2019,待遇面の満足度,4.84
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2020,待遇面の満足度,4.84
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2021,待遇面の満足度,4.83
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2022,待遇面の満足度,4.85
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2023,待遇面の満足度,4.84
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2024,待遇面の満足度,4.85
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2025,待遇面の満足度,4.91
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2016,社員の士気,3.91
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2017,社員の士気,3.93
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2018,社員の士気,3.91
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2019,社員の士気,3.82
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2020,社員の士気,3.87
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2021,社員の士気,3.94
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2022,社員の士気,4.13
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2023,社員の士気,4.22
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2024,社員の士気,4.21
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2025,社員の士気,4.32
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2016,風通しの良さ,3.46
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2017,風通しの良さ,3.52
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2018,風通しの良さ,3.55
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2019,風通しの良さ,3.61
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2020,風通しの良さ,3.61
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2021,風通しの良さ,3.66
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2022,風通しの良さ,3.83
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2023,風通しの良さ,4.01
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2024,風通しの良さ,4.02
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2025,風通しの良さ,4
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2016,社員の相互尊重,4.39
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2017,社員の相互尊重,4.45
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2018,社員の相互尊重,4.44
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2019,社員の相互尊重,4.48
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2020,社員の相互尊重,4.53
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2021,社員の相互尊重,4.58
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2022,社員の相互尊重,4.65
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2023,社員の相互尊重,4.72
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2024,社員の相互尊重,4.78
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2025,社員の相互尊重,4.83
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2016,20代成長環境,3.93
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2017,20代成長環境,3.9
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2018,20代成長環境,3.88
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2019,20代成長環境,3.83
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2020,20代成長環境,3.92
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2021,20代成長環境,3.91
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2022,20代成長環境,3.94
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2023,20代成長環境,4.05
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2024,20代成長環境,3.85
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2025,20代成長環境,4
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2016,人材の長期育成,4.04
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2017,人材の長期育成,4.07
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2018,人材の長期育成,4.05
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2019,人材の長期育成,4.09
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2020,人材の長期育成,4.13
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2021,人材の長期育成,4.18
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2022,人材の長期育成,4.33
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2023,人材の長期育成,4.46
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2024,人材の長期育成,4.44
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2025,人材の長期育成,4.58
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2016,法令順守意識,4.96
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2017,法令順守意識,4.97
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2018,法令順守意識,4.97
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2019,法令順守意識,4.97
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2020,法令順守意識,4.97
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2021,法令順守意識,4.96
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2022,法令順守意識,4.97
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2023,法令順守意識,4.96
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2024,法令順守意識,4.97
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2025,法令順守意識,4.88
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2016,人事評価の適正感,3.46
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2017,人事評価の適正感,3.5
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2018,人事評価の適正感,3.49
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2019,人事評価の適正感,3.46
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2020,人事評価の適正感,3.39
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2021,人事評価の適正感,3.48
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2022,人事評価の適正感,3.74
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2023,人事評価の適正感,3.8
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2024,人事評価の適正感,3.53
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2025,人事評価の適正感,3.61
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2016,有給休暇消化率,59.02
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2017,有給休暇消化率,59.7
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2018,有給休暇消化率,60.81
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2019,有給休暇消化率,59.9
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2020,有給休暇消化率,58.69
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2021,有給休暇消化率,59.36
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2022,有給休暇消化率,60.42
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2023,有給休暇消化率,60.94
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2024,有給休暇消化率,61.29
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2025,有給休暇消化率,56.25
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2016,残業時間(月間),37.59
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2017,残業時間(月間),36.96
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2018,残業時間(月間),36.93
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2019,残業時間(月間),37.22
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2020,残業時間(月間),36.86
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2021,残業時間(月間),36.73
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2022,残業時間(月間),35.05
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2023,残業時間(月間),32.32
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2024,残業時間(月間),33.14
2025/6/30,三菱商事,8058,TOPIX Core30,a0910000000Frj0,2025,残業時間(月間),39.17
