date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2016,クチコミ総合評価,3.49
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2017,クチコミ総合評価,3.51
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2018,クチコミ総合評価,3.45
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2019,クチコミ総合評価,3.41
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2020,クチコミ総合評価,3.47
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2021,クチコミ総合評価,3.38
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2022,クチコミ総合評価,3.29
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2023,クチコミ総合評価,3.26
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2024,クチコミ総合評価,3.3
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2025,クチコミ総合評価,3.61
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2016,待遇面の満足度,4.33
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2017,待遇面の満足度,4.36
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2018,待遇面の満足度,4.29
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2019,待遇面の満足度,4.2
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2020,待遇面の満足度,4.18
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2021,待遇面の満足度,4.15
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2022,待遇面の満足度,4.01
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2023,待遇面の満足度,3.97
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2024,待遇面の満足度,3.89
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2025,待遇面の満足度,3.97
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2016,社員の士気,3.16
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2017,社員の士気,3.21
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2018,社員の士気,3.15
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2019,社員の士気,3.11
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2020,社員の士気,3.14
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2021,社員の士気,3.02
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2022,社員の士気,2.91
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2023,社員の士気,2.92
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2024,社員の士気,3.14
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2025,社員の士気,3.12
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2016,風通しの良さ,2.96
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2017,風通しの良さ,3.03
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2018,風通しの良さ,2.97
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2019,風通しの良さ,2.93
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2020,風通しの良さ,2.93
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2021,風通しの良さ,2.87
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2022,風通しの良さ,2.78
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2023,風通しの良さ,2.82
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2024,風通しの良さ,2.74
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2025,風通しの良さ,3.12
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2016,社員の相互尊重,3.64
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2017,社員の相互尊重,3.68
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2018,社員の相互尊重,3.64
2025/6/30,岩谷産業,8088,TOPIX Mid400,a0910000000FrjP,2019,社員の相互尊重,3.56
