date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2016,クチコミ総合評価,3.61
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2017,クチコミ総合評価,3.57
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2018,クチコミ総合評価,3.56
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2019,クチコミ総合評価,3.63
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2020,クチコミ総合評価,3.59
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2021,クチコミ総合評価,3.43
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2022,クチコミ総合評価,3.52
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2023,クチコミ総合評価,3.4
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2024,クチコミ総合評価,3.19
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2025,クチコミ総合評価,3.32
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2016,待遇面の満足度,3.62
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2017,待遇面の満足度,3.69
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2018,待遇面の満足度,3.67
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2019,待遇面の満足度,3.75
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2020,待遇面の満足度,3.76
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2021,待遇面の満足度,3.77
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2022,待遇面の満足度,3.68
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2023,待遇面の満足度,3.41
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2024,待遇面の満足度,3.38
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2025,待遇面の満足度,3.28
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2016,社員の士気,3.25
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2017,社員の士気,3.18
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2018,社員の士気,3.13
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2019,社員の士気,3.25
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2020,社員の士気,3.18
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2021,社員の士気,3.09
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2022,社員の士気,3.27
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2023,社員の士気,3.26
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2024,社員の士気,3.24
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2025,社員の士気,3.23
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2016,風通しの良さ,3.29
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2017,風通しの良さ,3.3
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2018,風通しの良さ,3.3
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2019,風通しの良さ,3.27
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2020,風通しの良さ,3.26
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2021,風通しの良さ,3.08
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2022,風通しの良さ,3.09
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2023,風通しの良さ,2.92
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2024,風通しの良さ,2.9
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2025,風通しの良さ,3.28
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2016,社員の相互尊重,3.69
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2017,社員の相互尊重,3.53
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2018,社員の相互尊重,3.55
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2019,社員の相互尊重,3.69
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2020,社員の相互尊重,3.65
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2021,社員の相互尊重,3.46
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2022,社員の相互尊重,3.46
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2023,社員の相互尊重,3.26
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2024,社員の相互尊重,3
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2025,社員の相互尊重,3.27
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2016,20代成長環境,4.21
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2017,20代成長環境,4.14
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2018,20代成長環境,4.2
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2019,20代成長環境,4.25
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2020,20代成長環境,4.2
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2021,20代成長環境,4.03
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2022,20代成長環境,4.12
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2023,20代成長環境,4.01
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2024,20代成長環境,3.8
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2025,20代成長環境,3.98
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2016,人材の長期育成,3.14
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2017,人材の長期育成,3.11
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2018,人材の長期育成,3.18
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2019,人材の長期育成,3.24
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2020,人材の長期育成,3.23
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2021,人材の長期育成,3.05
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2022,人材の長期育成,3.18
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2023,人材の長期育成,3.3
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2024,人材の長期育成,2.9
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2025,人材の長期育成,3
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2016,法令順守意識,3.42
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2017,法令順守意識,3.44
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2018,法令順守意識,3.39
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2019,法令順守意識,3.43
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2020,法令順守意識,3.41
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2021,法令順守意識,3.23
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2022,法令順守意識,3.39
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2023,法令順守意識,3.35
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2024,法令順守意識,3.21
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2025,法令順守意識,3.15
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2016,人事評価の適正感,3.01
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2017,人事評価の適正感,2.98
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2018,人事評価の適正感,2.93
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2019,人事評価の適正感,2.91
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2020,人事評価の適正感,2.82
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2021,人事評価の適正感,2.79
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2022,人事評価の適正感,2.83
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2023,人事評価の適正感,2.73
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2024,人事評価の適正感,2.45
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2025,人事評価の適正感,2.57
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2016,有給休暇消化率,43.67
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2017,有給休暇消化率,46.13
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2018,有給休暇消化率,49.13
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2019,有給休暇消化率,52.32
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2020,有給休暇消化率,53.92
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2021,有給休暇消化率,53.09
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2022,有給休暇消化率,57.11
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2023,有給休暇消化率,59.05
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2024,有給休暇消化率,57
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2025,有給休暇消化率,51.43
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2016,残業時間(月間),41.9
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2017,残業時間(月間),38.89
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2018,残業時間(月間),37.32
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2019,残業時間(月間),35.18
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2020,残業時間(月間),35
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2021,残業時間(月間),36.71
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2022,残業時間(月間),33.91
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2023,残業時間(月間),30.08
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2024,残業時間(月間),32.15
2025/6/30,ユニ・チャーム,8113,TOPIX Large70,a0910000000Frjj,2025,残業時間(月間),32.86
