date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2015,クチコミ総合評価,2.54
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2016,クチコミ総合評価,2.53
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2017,クチコミ総合評価,2.55
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2018,クチコミ総合評価,2.55
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2019,クチコミ総合評価,2.56
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2020,クチコミ総合評価,2.47
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2021,クチコミ総合評価,2.42
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2022,クチコミ総合評価,2.54
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2023,クチコミ総合評価,2.57
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2024,クチコミ総合評価,2.63
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2015,待遇面の満足度,2.21
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2016,待遇面の満足度,2.22
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2017,待遇面の満足度,2.18
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2018,待遇面の満足度,2.18
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2019,待遇面の満足度,2.2
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2020,待遇面の満足度,2.25
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2021,待遇面の満足度,2.3
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2022,待遇面の満足度,2.38
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2023,待遇面の満足度,2.26
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2024,待遇面の満足度,2.2
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2015,社員の士気,2.29
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2016,社員の士気,2.24
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2017,社員の士気,2.23
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2018,社員の士気,2.26
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2019,社員の士気,2.29
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2020,社員の士気,2.25
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2021,社員の士気,2.27
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2022,社員の士気,2.42
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2023,社員の士気,2.47
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2024,社員の士気,2.4
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2015,風通しの良さ,2.6
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2016,風通しの良さ,2.58
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2017,風通しの良さ,2.58
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2018,風通しの良さ,2.63
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2019,風通しの良さ,2.61
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2020,風通しの良さ,2.61
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2021,風通しの良さ,2.7
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2022,風通しの良さ,2.77
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2023,風通しの良さ,2.84
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2024,風通しの良さ,2.8
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2015,社員の相互尊重,2.82
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2016,社員の相互尊重,2.8
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2017,社員の相互尊重,2.82
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2018,社員の相互尊重,2.84
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2019,社員の相互尊重,2.8
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2020,社員の相互尊重,2.86
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2021,社員の相互尊重,2.95
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2022,社員の相互尊重,3.37
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2023,社員の相互尊重,3.49
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2024,社員の相互尊重,3.38
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2015,20代成長環境,2.42
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2016,20代成長環境,2.45
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2017,20代成長環境,2.42
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2018,20代成長環境,2.34
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2019,20代成長環境,2.31
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2020,20代成長環境,2.3
2025/6/30,東邦ホールディングス,8129,TOPIX Mid400,a0C1000000PU3On,2021,20代成長環境,2.16
