date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2015,クチコミ総合評価,2.71
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2016,クチコミ総合評価,2.78
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2017,クチコミ総合評価,2.82
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2018,クチコミ総合評価,2.88
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2019,クチコミ総合評価,2.85
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2020,クチコミ総合評価,2.94
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2021,クチコミ総合評価,2.82
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2022,クチコミ総合評価,2.88
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2023,クチコミ総合評価,2.9
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2024,クチコミ総合評価,3.09
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2015,待遇面の満足度,2.36
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2016,待遇面の満足度,2.39
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2017,待遇面の満足度,2.31
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2018,待遇面の満足度,2.48
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2019,待遇面の満足度,2.47
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2020,待遇面の満足度,2.58
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2021,待遇面の満足度,2.41
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2022,待遇面の満足度,2.56
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2023,待遇面の満足度,2.42
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2024,待遇面の満足度,2.63
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2015,社員の士気,2.79
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2016,社員の士気,2.89
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2017,社員の士気,2.83
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2018,社員の士気,2.81
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2019,社員の士気,2.77
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2020,社員の士気,2.77
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2021,社員の士気,2.82
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2022,社員の士気,2.75
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2023,社員の士気,2.92
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2024,社員の士気,3.24
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2015,風通しの良さ,2.45
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2016,風通しの良さ,2.47
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2017,風通しの良さ,2.54
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2018,風通しの良さ,2.61
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2019,風通しの良さ,2.7
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2020,風通しの良さ,2.81
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2021,風通しの良さ,2.73
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2022,風通しの良さ,2.88
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2023,風通しの良さ,2.92
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2024,風通しの良さ,2.75
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2015,社員の相互尊重,2.73
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2016,社員の相互尊重,2.97
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2017,社員の相互尊重,3.17
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2018,社員の相互尊重,3.13
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2019,社員の相互尊重,3
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2020,社員の相互尊重,3.15
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2021,社員の相互尊重,3
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2022,社員の相互尊重,3.12
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2023,社員の相互尊重,3
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2024,社員の相互尊重,3
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2015,20代成長環境,2.58
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2016,20代成長環境,2.69
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2017,20代成長環境,2.69
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2018,20代成長環境,2.77
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2019,20代成長環境,2.77
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2020,20代成長環境,2.69
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2021,20代成長環境,2.59
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2022,20代成長環境,2.63
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2023,20代成長環境,2.75
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2024,20代成長環境,2.63
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2015,人材の長期育成,2.33
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2016,人材の長期育成,2.36
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2017,人材の長期育成,2.31
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2018,人材の長期育成,2.42
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2019,人材の長期育成,2.47
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2020,人材の長期育成,2.46
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2021,人材の長期育成,2.32
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2022,人材の長期育成,2.44
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2023,人材の長期育成,2.5
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2024,人材の長期育成,2.63
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2015,法令順守意識,3.83
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2016,法令順守意識,3.85
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2017,法令順守意識,3.91
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2018,法令順守意識,3.88
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2019,法令順守意識,3.81
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2020,法令順守意識,3.97
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2021,法令順守意識,3.81
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2022,法令順守意識,3.63
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2023,法令順守意識,3.57
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2024,法令順守意識,3.81
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2015,人事評価の適正感,2.36
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2016,人事評価の適正感,2.33
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2017,人事評価の適正感,2.43
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2018,人事評価の適正感,2.58
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2019,人事評価の適正感,2.6
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2020,人事評価の適正感,2.73
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2021,人事評価の適正感,2.59
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2022,人事評価の適正感,2.75
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2023,人事評価の適正感,2.92
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2024,人事評価の適正感,3.47
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2015,有給休暇消化率,49.39
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2016,有給休暇消化率,52.36
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2017,有給休暇消化率,56.29
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2018,有給休暇消化率,62.58
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2019,有給休暇消化率,64.5
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2020,有給休暇消化率,71.15
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2021,有給休暇消化率,68.18
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2022,有給休暇消化率,74.69
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2023,有給休暇消化率,68.33
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2024,有給休暇消化率,59.38
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2015,残業時間(月間),16.45
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2016,残業時間(月間),15.81
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2017,残業時間(月間),14.17
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2018,残業時間(月間),13.65
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2019,残業時間(月間),13.93
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2020,残業時間(月間),12.42
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2021,残業時間(月間),13.41
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2022,残業時間(月間),13.75
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2023,残業時間(月間),15.42
2025/6/30,サンリオ,8136,TOPIX Mid400,a0910000000Frk2,2024,残業時間(月間),18.13
