date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2016,クチコミ総合評価,3.05
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2017,クチコミ総合評価,3.06
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2018,クチコミ総合評価,3.06
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2019,クチコミ総合評価,3.04
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2020,クチコミ総合評価,3.08
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2021,クチコミ総合評価,3.03
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2022,クチコミ総合評価,2.98
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2023,クチコミ総合評価,2.97
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2024,クチコミ総合評価,2.97
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2025,クチコミ総合評価,2.58
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2016,待遇面の満足度,2.88
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2017,待遇面の満足度,2.95
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2018,待遇面の満足度,2.93
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2019,待遇面の満足度,2.96
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2020,待遇面の満足度,3.07
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2021,待遇面の満足度,2.97
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2022,待遇面の満足度,2.85
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2023,待遇面の満足度,2.85
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2024,待遇面の満足度,2.87
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2025,待遇面の満足度,2.8
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2016,社員の士気,2.68
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2017,社員の士気,2.67
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2018,社員の士気,2.66
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2019,社員の士気,2.6
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2020,社員の士気,2.61
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2021,社員の士気,2.6
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2022,社員の士気,2.56
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2023,社員の士気,2.67
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2024,社員の士気,2.74
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2025,社員の士気,2.4
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2016,風通しの良さ,2.95
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2017,風通しの良さ,2.95
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2018,風通しの良さ,2.98
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2019,風通しの良さ,3.04
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2020,風通しの良さ,3.08
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2021,風通しの良さ,3.02
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2022,風通しの良さ,2.97
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2023,風通しの良さ,2.91
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2024,風通しの良さ,2.96
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2025,風通しの良さ,2.6
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2016,社員の相互尊重,3.11
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2017,社員の相互尊重,3.15
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2018,社員の相互尊重,3.25
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2019,社員の相互尊重,3.29
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2020,社員の相互尊重,3.42
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2021,社員の相互尊重,3.36
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2022,社員の相互尊重,3.28
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2023,社員の相互尊重,3.17
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2024,社員の相互尊重,2.91
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2025,社員の相互尊重,2.6
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2016,20代成長環境,2.44
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2017,20代成長環境,2.43
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2018,20代成長環境,2.37
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2019,20代成長環境,2.29
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2020,20代成長環境,2.28
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2021,20代成長環境,2.27
2025/6/30,高島屋,8233,TOPIX Mid400,a0910000000Frmo,2022,20代成長環境,2.24
