date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2015,クチコミ総合評価,3.1
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2016,クチコミ総合評価,3.08
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2017,クチコミ総合評価,3.07
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2018,クチコミ総合評価,3.03
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2019,クチコミ総合評価,3.07
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2020,クチコミ総合評価,3.1
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2021,クチコミ総合評価,3.03
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2022,クチコミ総合評価,3
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2023,クチコミ総合評価,2.93
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2024,クチコミ総合評価,3.08
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2015,待遇面の満足度,2.83
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2016,待遇面の満足度,2.81
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2017,待遇面の満足度,2.85
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2018,待遇面の満足度,2.84
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2019,待遇面の満足度,2.89
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2020,待遇面の満足度,2.86
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2021,待遇面の満足度,2.82
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2022,待遇面の満足度,2.84
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2023,待遇面の満足度,2.81
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2024,待遇面の満足度,2.92
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2015,社員の士気,3
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2016,社員の士気,3.03
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2017,社員の士気,2.93
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2018,社員の士気,2.87
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2019,社員の士気,2.83
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2020,社員の士気,2.92
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2021,社員の士気,2.76
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2022,社員の士気,2.72
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2023,社員の士気,2.76
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2024,社員の士気,2.83
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2015,風通しの良さ,3.06
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2016,風通しの良さ,3.08
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2017,風通しの良さ,2.96
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2018,風通しの良さ,2.92
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2019,風通しの良さ,2.86
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2020,風通しの良さ,2.84
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2021,風通しの良さ,2.76
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2022,風通しの良さ,2.81
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2023,風通しの良さ,2.86
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2024,風通しの良さ,3
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2015,社員の相互尊重,3.32
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2016,社員の相互尊重,3.27
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2017,社員の相互尊重,3.28
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2018,社員の相互尊重,3.29
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2019,社員の相互尊重,3.47
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2020,社員の相互尊重,3.53
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2021,社員の相互尊重,3.4
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2022,社員の相互尊重,3.36
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2023,社員の相互尊重,3
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2024,社員の相互尊重,3.16
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2015,20代成長環境,2.59
2025/6/30,エイチ・ツー・オー　リテイリング,8242,TOPIX Mid400,a0910000000Frmt,2016,20代成長環境,2.56
