date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2016,クチコミ総合評価,3.51
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2017,クチコミ総合評価,3.56
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2018,クチコミ総合評価,3.55
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2019,クチコミ総合評価,3.48
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2020,クチコミ総合評価,3.51
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2021,クチコミ総合評価,3.58
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2022,クチコミ総合評価,3.71
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2023,クチコミ総合評価,3.67
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2024,クチコミ総合評価,3.8
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2025,クチコミ総合評価,3.66
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2016,待遇面の満足度,2.75
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2017,待遇面の満足度,2.78
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2018,待遇面の満足度,2.76
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2019,待遇面の満足度,2.72
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2020,待遇面の満足度,2.71
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2021,待遇面の満足度,2.7
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2022,待遇面の満足度,2.61
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2023,待遇面の満足度,2.68
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2024,待遇面の満足度,2.93
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2025,待遇面の満足度,2.9
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2016,社員の士気,2.93
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2017,社員の士気,2.95
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2018,社員の士気,2.94
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2019,社員の士気,2.9
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2020,社員の士気,2.98
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2021,社員の士気,3.08
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2022,社員の士気,3.2
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2023,社員の士気,3.22
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2024,社員の士気,3.39
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2025,社員の士気,2.9
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2016,風通しの良さ,3.4
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2017,風通しの良さ,3.42
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2018,風通しの良さ,3.44
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2019,風通しの良さ,3.44
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2020,風通しの良さ,3.46
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2021,風通しの良さ,3.46
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2022,風通しの良さ,3.55
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2023,風通しの良さ,3.77
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2024,風通しの良さ,3.95
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2025,風通しの良さ,4.16
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2016,社員の相互尊重,3.47
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2017,社員の相互尊重,3.52
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2018,社員の相互尊重,3.5
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2019,社員の相互尊重,3.39
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2020,社員の相互尊重,3.43
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2021,社員の相互尊重,3.5
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2022,社員の相互尊重,3.67
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2023,社員の相互尊重,3.66
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2024,社員の相互尊重,3.9
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2025,社員の相互尊重,3.56
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2016,20代成長環境,3.74
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2017,20代成長環境,3.8
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2018,20代成長環境,3.74
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2019,20代成長環境,3.56
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2020,20代成長環境,3.64
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2021,20代成長環境,3.71
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2022,20代成長環境,3.86
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2023,20代成長環境,3.62
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2024,20代成長環境,3.74
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2025,20代成長環境,3.88
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2016,人材の長期育成,3.37
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2017,人材の長期育成,3.45
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2018,人材の長期育成,3.46
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2019,人材の長期育成,3.33
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2020,人材の長期育成,3.29
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2021,人材の長期育成,3.41
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2022,人材の長期育成,3.75
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2023,人材の長期育成,3.55
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2024,人材の長期育成,3.39
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2025,人材の長期育成,3.2
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2016,法令順守意識,4.66
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2017,法令順守意識,4.72
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2018,法令順守意識,4.73
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2019,法令順守意識,4.73
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2020,法令順守意識,4.72
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2021,法令順守意識,4.73
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2022,法令順守意識,4.79
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2023,法令順守意識,4.81
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2024,法令順守意識,4.85
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2025,法令順守意識,4.76
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2016,人事評価の適正感,2.8
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2017,人事評価の適正感,2.81
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2018,人事評価の適正感,2.83
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2019,人事評価の適正感,2.87
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2020,人事評価の適正感,2.94
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2021,人事評価の適正感,3.03
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2022,人事評価の適正感,3
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2023,人事評価の適正感,2.89
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2024,人事評価の適正感,3
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2025,人事評価の適正感,2.9
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2016,有給休暇消化率,58.96
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2017,有給休暇消化率,61.13
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2018,有給休暇消化率,62.55
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2019,有給休暇消化率,65.87
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2020,有給休暇消化率,65.99
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2021,有給休暇消化率,65.07
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2022,有給休暇消化率,67.63
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2023,有給休暇消化率,69.2
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2024,有給休暇消化率,69.66
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2025,有給休暇消化率,66.5
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2016,残業時間(月間),6.72
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2017,残業時間(月間),6.47
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2018,残業時間(月間),6.64
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2019,残業時間(月間),6.92
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2020,残業時間(月間),7.81
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2021,残業時間(月間),9.45
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2022,残業時間(月間),11.11
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2023,残業時間(月間),11.07
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2024,残業時間(月間),11.45
2025/6/30,丸井グループ,8252,TOPIX Mid400,a0910000002Wx5E,2025,残業時間(月間),11.3
