date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2016,クチコミ総合評価,3.25
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2017,クチコミ総合評価,3.2
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2018,クチコミ総合評価,3.16
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2019,クチコミ総合評価,3.2
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2020,クチコミ総合評価,3.22
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2021,クチコミ総合評価,3.18
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2022,クチコミ総合評価,3.14
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2023,クチコミ総合評価,3.08
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2024,クチコミ総合評価,3.11
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2025,クチコミ総合評価,3.27
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2016,待遇面の満足度,2.95
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2017,待遇面の満足度,2.92
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2018,待遇面の満足度,2.9
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2019,待遇面の満足度,2.94
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2020,待遇面の満足度,2.97
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2021,待遇面の満足度,2.91
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2022,待遇面の満足度,2.83
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2023,待遇面の満足度,2.71
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2024,待遇面の満足度,2.76
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2025,待遇面の満足度,2.44
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2016,社員の士気,2.85
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2017,社員の士気,2.77
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2018,社員の士気,2.73
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2019,社員の士気,2.72
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2020,社員の士気,2.73
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2021,社員の士気,2.65
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2022,社員の士気,2.66
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2023,社員の士気,2.7
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2024,社員の士気,2.76
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2025,社員の士気,3.22
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2016,風通しの良さ,3.35
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2017,風通しの良さ,3.34
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2018,風通しの良さ,3.33
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2019,風通しの良さ,3.4
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2020,風通しの良さ,3.45
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2021,風通しの良さ,3.46
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2022,風通しの良さ,3.45
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2023,風通しの良さ,3.34
2025/6/30,クレディセゾン,8253,TOPIX Mid400,a0910000000Frn2,2024,風通しの良さ,3.15
