date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,イオン,8267,TOPIX Large70,a0910000000FrnB,2015,クチコミ総合評価,3.25
2025/6/30,イオン,8267,TOPIX Large70,a0910000000FrnB,2016,クチコミ総合評価,3.2
2025/6/30,イオン,8267,TOPIX Large70,a0910000000FrnB,2017,クチコミ総合評価,3.18
2025/6/30,イオン,8267,TOPIX Large70,a0910000000FrnB,2018,クチコミ総合評価,3.26
2025/6/30,イオン,8267,TOPIX Large70,a0910000000FrnB,2019,クチコミ総合評価,3.15
2025/6/30,イオン,8267,TOPIX Large70,a0910000000FrnB,2020,クチコミ総合評価,3.04
2025/6/30,イオン,8267,TOPIX Large70,a0910000000FrnB,2021,クチコミ総合評価,3.05
2025/6/30,イオン,8267,TOPIX Large70,a0910000000FrnB,2022,クチコミ総合評価,3.09
2025/6/30,イオン,8267,TOPIX Large70,a0910000000FrnB,2023,クチコミ総合評価,3.01
2025/6/30,イオン,8267,TOPIX Large70,a0910000000FrnB,2024,クチコミ総合評価,3.01
2025/6/30,イオン,8267,TOPIX Large70,a0910000000FrnB,2015,待遇面の満足度,3.2
2025/6/30,イオン,8267,TOPIX Large70,a0910000000FrnB,2016,待遇面の満足度,3.18
2025/6/30,イオン,8267,TOPIX Large70,a0910000000FrnB,2017,待遇面の満足度,3.19
2025/6/30,イオン,8267,TOPIX Large70,a0910000000FrnB,2018,待遇面の満足度,3.13
2025/6/30,イオン,8267,TOPIX Large70,a0910000000FrnB,2019,待遇面の満足度,2.97
2025/6/30,イオン,8267,TOPIX Large70,a0910000000FrnB,2020,待遇面の満足度,2.93
2025/6/30,イオン,8267,TOPIX Large70,a0910000000FrnB,2021,待遇面の満足度,3.09
2025/6/30,イオン,8267,TOPIX Large70,a0910000000FrnB,2022,待遇面の満足度,3.2
2025/6/30,イオン,8267,TOPIX Large70,a0910000000FrnB,2023,待遇面の満足度,2.95
2025/6/30,イオン,8267,TOPIX Large70,a0910000000FrnB,2024,待遇面の満足度,3
