date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2016,クチコミ総合評価,3.06
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2017,クチコミ総合評価,3.09
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2018,クチコミ総合評価,3.23
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2019,クチコミ総合評価,3.14
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2020,クチコミ総合評価,3.17
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2021,クチコミ総合評価,3.08
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2022,クチコミ総合評価,3.1
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2023,クチコミ総合評価,3.25
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2024,クチコミ総合評価,3.41
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2025,クチコミ総合評価,3.3
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2016,待遇面の満足度,2.87
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2017,待遇面の満足度,2.87
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2018,待遇面の満足度,2.95
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2019,待遇面の満足度,2.91
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2020,待遇面の満足度,2.86
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2021,待遇面の満足度,2.7
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2022,待遇面の満足度,2.72
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2023,待遇面の満足度,2.93
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2024,待遇面の満足度,3.07
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2025,待遇面の満足度,3.16
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2016,社員の士気,2.85
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2017,社員の士気,2.84
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2018,社員の士気,2.91
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2019,社員の士気,2.85
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2020,社員の士気,2.96
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2021,社員の士気,2.93
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2022,社員の士気,3.04
2025/6/30,ヤオコー,8279,TOPIX Mid400,a0910000000FrnJ,2023,社員の士気,3.24
