date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2016,クチコミ総合評価,3.45
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2017,クチコミ総合評価,3.46
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2018,クチコミ総合評価,3.46
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2019,クチコミ総合評価,3.53
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2020,クチコミ総合評価,3.4
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2021,クチコミ総合評価,3.48
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2022,クチコミ総合評価,3.32
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2023,クチコミ総合評価,3.12
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2024,クチコミ総合評価,3.1
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2025,クチコミ総合評価,2.62
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2016,待遇面の満足度,2.96
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2017,待遇面の満足度,2.88
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2018,待遇面の満足度,2.86
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2019,待遇面の満足度,3.22
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2020,待遇面の満足度,3.18
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2021,待遇面の満足度,3
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2022,待遇面の満足度,2.96
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2023,待遇面の満足度,2.94
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2024,待遇面の満足度,2.82
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2025,待遇面の満足度,1.89
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2016,社員の士気,2.95
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2017,社員の士気,3
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2018,社員の士気,3
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2019,社員の士気,2.91
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2020,社員の士気,2.83
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2021,社員の士気,2.89
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2022,社員の士気,2.79
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2023,社員の士気,2.46
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2024,社員の士気,2.56
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2025,社員の士気,2.67
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2016,風通しの良さ,4.2
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2017,風通しの良さ,4.17
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2018,風通しの良さ,4.21
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2019,風通しの良さ,4.3
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2020,風通しの良さ,4.32
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2021,風通しの良さ,4.32
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2022,風通しの良さ,4.13
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2023,風通しの良さ,3.93
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2024,風通しの良さ,3.79
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2025,風通しの良さ,2.67
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2016,社員の相互尊重,3.65
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2017,社員の相互尊重,3.8
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2018,社員の相互尊重,3.77
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2019,社員の相互尊重,3.59
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2020,社員の相互尊重,3.32
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2021,社員の相互尊重,3.61
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2022,社員の相互尊重,3.4
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2023,社員の相互尊重,3
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2024,社員の相互尊重,2.89
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2025,社員の相互尊重,2.33
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2016,20代成長環境,2.86
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2017,20代成長環境,2.86
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2018,20代成長環境,2.91
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2019,20代成長環境,2.91
2025/6/30,ケーズホールディングス,8282,TOPIX Mid400,a0910000000FrnL,2020,20代成長環境,2.72
