date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2016,クチコミ総合評価,2.6
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2017,クチコミ総合評価,2.63
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2018,クチコミ総合評価,2.67
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2019,クチコミ総合評価,2.65
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2020,クチコミ総合評価,2.68
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2021,クチコミ総合評価,2.69
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2022,クチコミ総合評価,2.78
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2023,クチコミ総合評価,2.79
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2024,クチコミ総合評価,2.96
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2025,クチコミ総合評価,3.03
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2016,待遇面の満足度,2.68
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2017,待遇面の満足度,2.67
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2018,待遇面の満足度,2.73
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2019,待遇面の満足度,2.73
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2020,待遇面の満足度,2.74
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2021,待遇面の満足度,2.85
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2022,待遇面の満足度,2.95
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2023,待遇面の満足度,3.49
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2024,待遇面の満足度,3.72
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2025,待遇面の満足度,4.11
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2016,社員の士気,2.29
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2017,社員の士気,2.34
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2018,社員の士気,2.44
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2019,社員の士気,2.44
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2020,社員の士気,2.44
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2021,社員の士気,2.39
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2022,社員の士気,2.51
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2023,社員の士気,2.39
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2024,社員の士気,2.67
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2025,社員の士気,2.67
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2016,風通しの良さ,2.41
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2017,風通しの良さ,2.46
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2018,風通しの良さ,2.56
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2019,風通しの良さ,2.53
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2020,風通しの良さ,2.54
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2021,風通しの良さ,2.56
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2022,風通しの良さ,2.62
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2023,風通しの良さ,2.57
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2024,風通しの良さ,2.6
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2025,風通しの良さ,2.5
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2016,社員の相互尊重,2.64
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2017,社員の相互尊重,2.69
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2018,社員の相互尊重,2.66
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2019,社員の相互尊重,2.64
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2020,社員の相互尊重,2.72
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2021,社員の相互尊重,2.63
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2022,社員の相互尊重,2.68
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2023,社員の相互尊重,2.65
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2024,社員の相互尊重,2.4
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2025,社員の相互尊重,2.33
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2016,20代成長環境,2.68
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2017,20代成長環境,2.61
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2018,20代成長環境,2.71
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2019,20代成長環境,2.75
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2020,20代成長環境,2.74
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2021,20代成長環境,2.73
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2022,20代成長環境,2.7
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2023,20代成長環境,2.43
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2024,20代成長環境,2.53
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2025,20代成長環境,3
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2016,人材の長期育成,2.25
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2017,人材の長期育成,2.25
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2018,人材の長期育成,2.36
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2019,人材の長期育成,2.32
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2020,人材の長期育成,2.34
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2021,人材の長期育成,2.34
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2022,人材の長期育成,2.35
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2023,人材の長期育成,2.13
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2024,人材の長期育成,2.47
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2025,人材の長期育成,2.33
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2016,法令順守意識,3.37
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2017,法令順守意識,3.48
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2018,法令順守意識,3.32
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2019,法令順守意識,3.3
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2020,法令順守意識,3.38
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2021,法令順守意識,3.31
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2022,法令順守意識,3.61
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2023,法令順守意識,3.71
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2024,法令順守意識,4.08
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2025,法令順守意識,3.93
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2016,人事評価の適正感,2.32
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2017,人事評価の適正感,2.33
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2018,人事評価の適正感,2.44
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2019,人事評価の適正感,2.39
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2020,人事評価の適正感,2.4
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2021,人事評価の適正感,2.56
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2022,人事評価の適正感,2.62
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2023,人事評価の適正感,2.52
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2024,人事評価の適正感,2.73
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2025,人事評価の適正感,2.83
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2016,有給休暇消化率,29.02
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2017,有給休暇消化率,28.11
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2018,有給休暇消化率,30.42
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2019,有給休暇消化率,31.27
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2020,有給休暇消化率,32.6
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2021,有給休暇消化率,38.05
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2022,有給休暇消化率,43.78
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2023,有給休暇消化率,45.43
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2024,有給休暇消化率,47.67
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2025,有給休暇消化率,47.5
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2016,残業時間(月間),46.38
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2017,残業時間(月間),46.26
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2018,残業時間(月間),43.64
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2019,残業時間(月間),44.49
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2020,残業時間(月間),40.5
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2021,残業時間(月間),37.9
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2022,残業時間(月間),30.03
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2023,残業時間(月間),28.74
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2024,残業時間(月間),22.53
2025/6/30,ＰＡＬＴＡＣ,8283,TOPIX Mid400,a0910000000G28j,2025,残業時間(月間),27.5
