date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2016,クチコミ総合評価,3.1
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2017,クチコミ総合評価,3.08
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2018,クチコミ総合評価,3.1
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2019,クチコミ総合評価,3.13
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2020,クチコミ総合評価,3.17
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2021,クチコミ総合評価,3.28
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2022,クチコミ総合評価,3.35
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2023,クチコミ総合評価,3.34
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2024,クチコミ総合評価,3.26
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2025,クチコミ総合評価,3.46
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2016,待遇面の満足度,3.3
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2017,待遇面の満足度,3.27
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2018,待遇面の満足度,3.37
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2019,待遇面の満足度,3.36
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2020,待遇面の満足度,3.42
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2021,待遇面の満足度,3.53
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2022,待遇面の満足度,3.58
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2023,待遇面の満足度,3.63
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2024,待遇面の満足度,3.54
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2025,待遇面の満足度,3.75
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2016,社員の士気,2.49
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2017,社員の士気,2.52
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2018,社員の士気,2.54
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2019,社員の士気,2.62
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2020,社員の士気,2.64
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2021,社員の士気,2.64
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2022,社員の士気,2.7
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2023,社員の士気,2.65
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2024,社員の士気,2.65
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2025,社員の士気,2.83
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2016,風通しの良さ,3.26
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2017,風通しの良さ,3.18
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2018,風通しの良さ,3.23
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2019,風通しの良さ,3.22
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2020,風通しの良さ,3.3
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2021,風通しの良さ,3.46
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2022,風通しの良さ,3.5
2025/6/30,あおぞら銀行,8304,TOPIX Mid400,a0910000000FrnV,2023,風通しの良さ,3.43
