date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2014,クチコミ総合評価,3.4
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2015,クチコミ総合評価,3.46
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2016,クチコミ総合評価,3.48
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2017,クチコミ総合評価,3.5
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2018,クチコミ総合評価,3.35
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2019,クチコミ総合評価,3.31
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2020,クチコミ総合評価,3.59
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2021,クチコミ総合評価,3.59
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2022,クチコミ総合評価,3.59
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2023,クチコミ総合評価,3.51
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2014,待遇面の満足度,3.89
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2015,待遇面の満足度,3.61
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2016,待遇面の満足度,3.68
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2017,待遇面の満足度,3.68
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2018,待遇面の満足度,3.28
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2019,待遇面の満足度,3
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2020,待遇面の満足度,3.82
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2021,待遇面の満足度,3.82
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2022,待遇面の満足度,3.82
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2023,待遇面の満足度,3.58
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2014,社員の士気,3
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,TOPIX Core30,a0910000000FrnW,2015,社員の士気,3.11
