date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2016,クチコミ総合評価,3.25
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2017,クチコミ総合評価,3.24
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2018,クチコミ総合評価,3.26
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2019,クチコミ総合評価,3.28
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2020,クチコミ総合評価,3.32
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2021,クチコミ総合評価,3.38
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2022,クチコミ総合評価,3.38
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2023,クチコミ総合評価,3.44
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2024,クチコミ総合評価,3.56
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2025,クチコミ総合評価,3.59
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2016,待遇面の満足度,3.03
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2017,待遇面の満足度,3.01
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2018,待遇面の満足度,3.02
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2019,待遇面の満足度,3.06
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2020,待遇面の満足度,3.06
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2021,待遇面の満足度,3.1
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2022,待遇面の満足度,3.02
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2023,待遇面の満足度,3.02
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2024,待遇面の満足度,3.12
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2025,待遇面の満足度,3.21
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2016,社員の士気,2.83
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2017,社員の士気,2.83
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2018,社員の士気,2.83
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2019,社員の士気,2.84
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2020,社員の士気,2.86
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2021,社員の士気,2.88
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2022,社員の士気,2.9
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2023,社員の士気,2.99
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2024,社員の士気,3.23
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2025,社員の士気,3.13
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2016,風通しの良さ,2.97
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2017,風通しの良さ,2.99
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2018,風通しの良さ,3
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2019,風通しの良さ,3.04
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2020,風通しの良さ,3.12
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2021,風通しの良さ,3.19
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2022,風通しの良さ,3.26
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2023,風通しの良さ,3.4
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2024,風通しの良さ,3.36
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2025,風通しの良さ,3.43
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2016,社員の相互尊重,3.02
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2017,社員の相互尊重,3.05
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2018,社員の相互尊重,3.1
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2019,社員の相互尊重,3.1
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2020,社員の相互尊重,3.15
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2021,社員の相互尊重,3.23
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2022,社員の相互尊重,3.22
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2023,社員の相互尊重,3.32
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2024,社員の相互尊重,3.53
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2025,社員の相互尊重,3.62
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2016,20代成長環境,3.54
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2017,20代成長環境,3.48
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2018,20代成長環境,3.46
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2019,20代成長環境,3.43
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2020,20代成長環境,3.41
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2021,20代成長環境,3.46
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2022,20代成長環境,3.49
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2023,20代成長環境,3.53
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2024,20代成長環境,3.59
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2025,20代成長環境,3.5
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2016,人材の長期育成,2.74
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2017,人材の長期育成,2.76
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2018,人材の長期育成,2.79
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2019,人材の長期育成,2.83
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2020,人材の長期育成,2.9
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2021,人材の長期育成,2.97
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2022,人材の長期育成,2.96
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2023,人材の長期育成,2.95
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2024,人材の長期育成,2.99
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2025,人材の長期育成,2.97
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2016,法令順守意識,4.47
2025/6/30,三井住友トラストグループ,8309,TOPIX Large70,a0910000000FroY,2017,法令順守意識,4.51
