date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2016,クチコミ総合評価,3.02
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2017,クチコミ総合評価,3.02
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2018,クチコミ総合評価,3.02
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2019,クチコミ総合評価,3.06
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2020,クチコミ総合評価,3.12
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2021,クチコミ総合評価,3.06
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2022,クチコミ総合評価,3.09
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2023,クチコミ総合評価,3.06
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2024,クチコミ総合評価,3.07
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2025,クチコミ総合評価,3.2
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2016,待遇面の満足度,3.29
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2017,待遇面の満足度,3.23
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2018,待遇面の満足度,3.29
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2019,待遇面の満足度,3.3
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2020,待遇面の満足度,3.31
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2021,待遇面の満足度,3.27
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2022,待遇面の満足度,3.33
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2023,待遇面の満足度,3.23
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2024,待遇面の満足度,3.24
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2025,待遇面の満足度,4.02
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2016,社員の士気,2.66
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2017,社員の士気,2.64
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2018,社員の士気,2.6
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2019,社員の士気,2.68
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2020,社員の士気,2.74
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2021,社員の士気,2.67
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2022,社員の士気,2.67
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2023,社員の士気,2.74
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2024,社員の士気,2.79
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2025,社員の士気,3.38
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2016,風通しの良さ,2.43
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2017,風通しの良さ,2.4
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2018,風通しの良さ,2.41
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2019,風通しの良さ,2.46
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2020,風通しの良さ,2.53
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2021,風通しの良さ,2.59
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2022,風通しの良さ,2.62
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2023,風通しの良さ,2.56
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2024,風通しの良さ,2.58
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2025,風通しの良さ,2.6
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2016,社員の相互尊重,2.74
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2017,社員の相互尊重,2.78
2025/6/30,群馬銀行,8334,TOPIX Mid400,a0910000000Frnh,2018,社員の相互尊重,2.84
