date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2016,クチコミ総合評価,3.41
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2017,クチコミ総合評価,3.4
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2018,クチコミ総合評価,3.41
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2019,クチコミ総合評価,3.47
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2020,クチコミ総合評価,3.51
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2021,クチコミ総合評価,3.49
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2022,クチコミ総合評価,3.67
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2023,クチコミ総合評価,3.73
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2024,クチコミ総合評価,3.76
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2025,クチコミ総合評価,3.65
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2016,待遇面の満足度,3.27
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2017,待遇面の満足度,3.18
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2018,待遇面の満足度,3.09
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2019,待遇面の満足度,3.12
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2020,待遇面の満足度,3.14
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2021,待遇面の満足度,3.13
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2022,待遇面の満足度,3.33
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2023,待遇面の満足度,3.42
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2024,待遇面の満足度,3.32
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2025,待遇面の満足度,3.22
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2016,社員の士気,3
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2017,社員の士気,2.99
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2018,社員の士気,3.1
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2019,社員の士気,3.18
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2020,社員の士気,3.24
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2021,社員の士気,3.18
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2022,社員の士気,3.36
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2023,社員の士気,3.47
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2024,社員の士気,3.47
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2025,社員の士気,2.89
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2016,風通しの良さ,3.06
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2017,風通しの良さ,3.06
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2018,風通しの良さ,2.98
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2019,風通しの良さ,3
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2020,風通しの良さ,3.14
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2021,風通しの良さ,3.22
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2022,風通しの良さ,3.43
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2023,風通しの良さ,3.52
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2024,風通しの良さ,3.81
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2025,風通しの良さ,3.79
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2016,社員の相互尊重,3.54
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2017,社員の相互尊重,3.63
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2018,社員の相互尊重,3.68
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2019,社員の相互尊重,3.72
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2020,社員の相互尊重,3.85
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2021,社員の相互尊重,3.8
2025/6/30,八十二銀行,8359,TOPIX Mid400,a0910000000Fro0,2022,社員の相互尊重,4
