date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2016,クチコミ総合評価,3.16
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2017,クチコミ総合評価,3.21
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2018,クチコミ総合評価,3.24
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2019,クチコミ総合評価,3.11
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2020,クチコミ総合評価,3.07
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2021,クチコミ総合評価,3.07
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2022,クチコミ総合評価,3.11
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2023,クチコミ総合評価,3.05
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2024,クチコミ総合評価,3.45
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2025,クチコミ総合評価,3.94
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2016,待遇面の満足度,2.95
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2017,待遇面の満足度,2.99
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2018,待遇面の満足度,3.02
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2019,待遇面の満足度,2.91
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2020,待遇面の満足度,2.92
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2021,待遇面の満足度,2.94
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2022,待遇面の満足度,3.04
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2023,待遇面の満足度,3
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2024,待遇面の満足度,3.66
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2025,待遇面の満足度,4.05
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2016,社員の士気,2.84
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2017,社員の士気,2.88
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2018,社員の士気,2.9
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2019,社員の士気,2.79
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2020,社員の士気,2.71
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2021,社員の士気,2.67
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2022,社員の士気,2.66
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2023,社員の士気,2.67
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2024,社員の士気,2.91
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2025,社員の士気,3.47
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2016,風通しの良さ,2.88
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2017,風通しの良さ,2.93
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2018,風通しの良さ,2.95
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2019,風通しの良さ,2.91
2025/6/30,ほくほくフィナンシャルグループ,8377,TOPIX Mid400,a0C3000000776iC,2020,風通しの良さ,2.89
