date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2016,クチコミ総合評価,3.35
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2017,クチコミ総合評価,3.31
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2018,クチコミ総合評価,3.29
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2019,クチコミ総合評価,3.28
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2020,クチコミ総合評価,3.38
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2021,クチコミ総合評価,3.44
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2022,クチコミ総合評価,3.58
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2023,クチコミ総合評価,3.44
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2024,クチコミ総合評価,3.51
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2025,クチコミ総合評価,3.67
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2016,待遇面の満足度,3.34
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2017,待遇面の満足度,3.29
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2018,待遇面の満足度,3.36
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2019,待遇面の満足度,3.37
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2020,待遇面の満足度,3.46
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2021,待遇面の満足度,3.47
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2022,待遇面の満足度,3.46
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2023,待遇面の満足度,3.47
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2024,待遇面の満足度,3.47
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2025,待遇面の満足度,3.22
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2016,社員の士気,2.95
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2017,社員の士気,2.91
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2018,社員の士気,2.86
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2019,社員の士気,2.83
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2020,社員の士気,2.93
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2021,社員の士気,2.95
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2022,社員の士気,3.1
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2023,社員の士気,3.04
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2024,社員の士気,3.18
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2025,社員の士気,3.79
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2016,風通しの良さ,2.96
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2017,風通しの良さ,2.93
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2018,風通しの良さ,2.94
2025/6/30,みずほフィナンシャルグループ,8411,TOPIX Core30,a0910000000Hb21,2019,風通しの良さ,2.96
