date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2016,クチコミ総合評価,2.82
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2017,クチコミ総合評価,2.86
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2018,クチコミ総合評価,2.87
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2019,クチコミ総合評価,2.8
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2020,クチコミ総合評価,2.79
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2021,クチコミ総合評価,2.86
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2022,クチコミ総合評価,2.95
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2023,クチコミ総合評価,3.05
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2024,クチコミ総合評価,3.07
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2025,クチコミ総合評価,3.13
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2016,待遇面の満足度,2.69
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2017,待遇面の満足度,2.69
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2018,待遇面の満足度,2.61
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2019,待遇面の満足度,2.56
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2020,待遇面の満足度,2.52
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2021,待遇面の満足度,2.59
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2022,待遇面の満足度,2.69
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2023,待遇面の満足度,2.74
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2024,待遇面の満足度,2.74
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2025,待遇面の満足度,2.9
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2016,社員の士気,2.46
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2017,社員の士気,2.51
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2018,社員の士気,2.54
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2019,社員の士気,2.47
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2020,社員の士気,2.39
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2021,社員の士気,2.46
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2022,社員の士気,2.54
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2023,社員の士気,2.69
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2024,社員の士気,2.81
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2025,社員の士気,2.8
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2016,風通しの良さ,2.24
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2017,風通しの良さ,2.34
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2018,風通しの良さ,2.42
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2019,風通しの良さ,2.35
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2020,風通しの良さ,2.35
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2021,風通しの良さ,2.41
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2022,風通しの良さ,2.48
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2023,風通しの良さ,2.59
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2024,風通しの良さ,2.68
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2025,風通しの良さ,2.7
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2016,社員の相互尊重,2.55
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2017,社員の相互尊重,2.6
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2018,社員の相互尊重,2.66
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2019,社員の相互尊重,2.61
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2020,社員の相互尊重,2.59
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2021,社員の相互尊重,2.71
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2022,社員の相互尊重,2.81
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2023,社員の相互尊重,3.05
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2024,社員の相互尊重,3.06
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2025,社員の相互尊重,3.38
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2016,20代成長環境,2.58
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2017,20代成長環境,2.59
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2018,20代成長環境,2.58
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2019,20代成長環境,2.51
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2020,20代成長環境,2.54
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2021,20代成長環境,2.55
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2022,20代成長環境,2.69
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2023,20代成長環境,2.74
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2024,20代成長環境,2.71
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2025,20代成長環境,2.9
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2016,人材の長期育成,2.56
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2017,人材の長期育成,2.54
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2018,人材の長期育成,2.58
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2019,人材の長期育成,2.47
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2020,人材の長期育成,2.48
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2021,人材の長期育成,2.56
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2022,人材の長期育成,2.69
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2023,人材の長期育成,2.82
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2024,人材の長期育成,2.77
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2025,人材の長期育成,2.6
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2016,法令順守意識,4.66
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2017,法令順守意識,4.7
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2018,法令順守意識,4.72
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2019,法令順守意識,4.68
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2020,法令順守意識,4.63
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2021,法令順守意識,4.67
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2022,法令順守意識,4.67
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2023,法令順守意識,4.81
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2024,法令順守意識,4.83
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2025,法令順守意識,4.6
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2016,人事評価の適正感,2.63
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2017,人事評価の適正感,2.69
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2018,人事評価の適正感,2.63
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2019,人事評価の適正感,2.54
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2020,人事評価の適正感,2.62
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2021,人事評価の適正感,2.73
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2022,人事評価の適正感,2.81
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2023,人事評価の適正感,2.79
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2024,人事評価の適正感,2.77
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2025,人事評価の適正感,2.8
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2016,有給休暇消化率,65.58
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2017,有給休暇消化率,69.19
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2018,有給休暇消化率,76.84
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2019,有給休暇消化率,79.64
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2020,有給休暇消化率,81.6
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2021,有給休暇消化率,86.5
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2022,有給休暇消化率,89.07
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2023,有給休暇消化率,93.97
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2024,有給休暇消化率,94.35
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2025,有給休暇消化率,98.5
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2016,残業時間(月間),15.29
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2017,残業時間(月間),15.41
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2018,残業時間(月間),13.54
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2019,残業時間(月間),13.38
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2020,残業時間(月間),12.4
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2021,残業時間(月間),11.44
2025/6/30,山口フィナンシャルグループ,8418,TOPIX Mid400,a0910000000Froe,2022,残業時間(月間),12.89
