date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2016,クチコミ総合評価,3.29
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2017,クチコミ総合評価,3.34
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2018,クチコミ総合評価,3.25
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2019,クチコミ総合評価,3.26
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2020,クチコミ総合評価,3.28
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2021,クチコミ総合評価,3.35
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2022,クチコミ総合評価,3.34
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2023,クチコミ総合評価,3.28
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2024,クチコミ総合評価,3.24
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2025,クチコミ総合評価,3.57
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2016,待遇面の満足度,4.44
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2017,待遇面の満足度,4.47
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2018,待遇面の満足度,4.37
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2019,待遇面の満足度,4.47
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2020,待遇面の満足度,4.4
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2021,待遇面の満足度,4.38
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2022,待遇面の満足度,4.29
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2023,待遇面の満足度,4.09
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2024,待遇面の満足度,3.97
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2025,待遇面の満足度,4.02
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2016,社員の士気,2.59
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2017,社員の士気,2.72
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2018,社員の士気,2.63
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2019,社員の士気,2.58
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2020,社員の士気,2.58
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2021,社員の士気,2.63
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2022,社員の士気,2.62
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2023,社員の士気,2.61
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2024,社員の士気,2.44
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2025,社員の士気,2.6
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2016,風通しの良さ,2.88
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2017,風通しの良さ,2.86
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2018,風通しの良さ,2.75
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2019,風通しの良さ,2.75
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2020,風通しの良さ,2.79
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2021,風通しの良さ,2.93
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2022,風通しの良さ,3.08
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2023,風通しの良さ,2.96
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2024,風通しの良さ,2.88
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2025,風通しの良さ,3
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2016,社員の相互尊重,2.88
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2017,社員の相互尊重,2.89
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2018,社員の相互尊重,2.8
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2019,社員の相互尊重,2.83
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2020,社員の相互尊重,2.85
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2021,社員の相互尊重,3
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2022,社員の相互尊重,2.96
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2023,社員の相互尊重,2.96
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2024,社員の相互尊重,3.12
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2025,社員の相互尊重,4.02
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2016,20代成長環境,2.66
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2017,20代成長環境,2.72
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2018,20代成長環境,2.63
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2019,20代成長環境,2.61
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2020,20代成長環境,2.67
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2021,20代成長環境,2.67
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2022,20代成長環境,2.65
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2023,20代成長環境,2.65
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2024,20代成長環境,2.5
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2025,20代成長環境,2.8
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2016,人材の長期育成,3
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2017,人材の長期育成,3.11
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2018,人材の長期育成,3
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2019,人材の長期育成,3.06
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2020,人材の長期育成,3.12
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2021,人材の長期育成,3.29
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2022,人材の長期育成,3.3
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2023,人材の長期育成,3.25
2025/6/30,芙蓉総合リース,8424,TOPIX Mid400,a0910000000Frog,2024,人材の長期育成,3.36
