date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2016,クチコミ総合評価,3.9
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2017,クチコミ総合評価,3.92
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2018,クチコミ総合評価,4.01
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2019,クチコミ総合評価,4.07
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2020,クチコミ総合評価,4.14
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2021,クチコミ総合評価,4.1
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2022,クチコミ総合評価,4.19
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2023,クチコミ総合評価,4.33
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2024,クチコミ総合評価,4.31
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2025,クチコミ総合評価,4.36
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2016,待遇面の満足度,4.06
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2017,待遇面の満足度,4.14
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2018,待遇面の満足度,4.21
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2019,待遇面の満足度,4.22
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2020,待遇面の満足度,4.27
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2021,待遇面の満足度,4.3
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2022,待遇面の満足度,4.33
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2023,待遇面の満足度,4.44
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2024,待遇面の満足度,4.44
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2025,待遇面の満足度,4.57
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2016,社員の士気,3.63
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2017,社員の士気,3.62
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2018,社員の士気,3.62
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2019,社員の士気,3.66
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2020,社員の士気,3.71
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2021,社員の士気,3.69
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2022,社員の士気,3.68
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2023,社員の士気,3.8
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2024,社員の士気,3.79
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2025,社員の士気,3.98
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2016,風通しの良さ,3.78
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2017,風通しの良さ,3.8
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2018,風通しの良さ,3.9
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2019,風通しの良さ,3.96
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2020,風通しの良さ,3.97
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2021,風通しの良さ,3.94
2025/6/30,オリックス,8591,TOPIX Large70,a0910000000Frpe,2022,風通しの良さ,4.07
