date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2014,クチコミ総合評価,3.84
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2015,クチコミ総合評価,4.15
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2016,クチコミ総合評価,4.18
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2017,クチコミ総合評価,4.15
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2018,クチコミ総合評価,4.02
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2019,クチコミ総合評価,3.99
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2020,クチコミ総合評価,3.9
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2021,クチコミ総合評価,3.85
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2022,クチコミ総合評価,4.05
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2023,クチコミ総合評価,4.08
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2014,待遇面の満足度,3.67
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2015,待遇面の満足度,4.18
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2016,待遇面の満足度,4.19
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2017,待遇面の満足度,4.09
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2018,待遇面の満足度,3.87
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2019,待遇面の満足度,3.98
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2020,待遇面の満足度,3.9
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2021,待遇面の満足度,3.74
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2022,待遇面の満足度,3.94
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2023,待遇面の満足度,4.04
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2014,社員の士気,3.8
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2015,社員の士気,3.85
2025/6/30,ジャフコ　グループ,8595,TOPIX Mid400,a0910000000Frpi,2016,社員の士気,3.83
