date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2016,クチコミ総合評価,3.85
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2017,クチコミ総合評価,3.85
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2018,クチコミ総合評価,3.85
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2019,クチコミ総合評価,3.85
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2020,クチコミ総合評価,3.9
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2021,クチコミ総合評価,3.95
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2022,クチコミ総合評価,3.99
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2023,クチコミ総合評価,4.05
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2024,クチコミ総合評価,4.19
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2025,クチコミ総合評価,4.23
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2016,待遇面の満足度,4.03
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2017,待遇面の満足度,4.09
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2018,待遇面の満足度,4.08
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2019,待遇面の満足度,4.03
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2020,待遇面の満足度,4
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2021,待遇面の満足度,4.04
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2022,待遇面の満足度,4.09
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2023,待遇面の満足度,4.11
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2024,待遇面の満足度,4.29
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2025,待遇面の満足度,4.4
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2016,社員の士気,3
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2017,社員の士気,3
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2018,社員の士気,3
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2019,社員の士気,2.97
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2020,社員の士気,3
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2021,社員の士気,3.06
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2022,社員の士気,3.11
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2023,社員の士気,3.24
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2024,社員の士気,3.39
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2025,社員の士気,3.4
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2016,風通しの良さ,3.23
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2017,風通しの良さ,3.23
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2018,風通しの良さ,3.24
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2019,風通しの良さ,3.24
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2020,風通しの良さ,3.35
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2021,風通しの良さ,3.5
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2022,風通しの良さ,3.6
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2023,風通しの良さ,3.64
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2024,風通しの良さ,3.82
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2025,風通しの良さ,3.93
2025/6/30,大和証券グループ本社,8601,TOPIX Mid400,a0910000000GAPt,2016,社員の相互尊重,3.08
