date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2015,クチコミ総合評価,3.76
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2016,クチコミ総合評価,3.69
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2017,クチコミ総合評価,3.65
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2018,クチコミ総合評価,3.59
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2019,クチコミ総合評価,3.46
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2020,クチコミ総合評価,3.53
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2021,クチコミ総合評価,3.36
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2022,クチコミ総合評価,3.45
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2023,クチコミ総合評価,3.48
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2024,クチコミ総合評価,3.68
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2015,待遇面の満足度,4.23
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2016,待遇面の満足度,4.13
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2017,待遇面の満足度,4.15
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2018,待遇面の満足度,4.21
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2019,待遇面の満足度,4.02
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2020,待遇面の満足度,4.1
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2021,待遇面の満足度,4.02
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2022,待遇面の満足度,4.27
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2023,待遇面の満足度,4.44
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2024,待遇面の満足度,4.07
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2015,社員の士気,3
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2016,社員の士気,2.95
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2017,社員の士気,2.91
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2018,社員の士気,2.83
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2019,社員の士気,2.75
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2020,社員の士気,2.69
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2021,社員の士気,2.5
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2022,社員の士気,2.33
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2023,社員の士気,2.2
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2024,社員の士気,2.33
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2015,風通しの良さ,3.84
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2016,風通しの良さ,4.04
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2017,風通しの良さ,4
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2018,風通しの良さ,3.91
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2019,風通しの良さ,3.93
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2020,風通しの良さ,4.1
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2021,風通しの良さ,3.93
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2022,風通しの良さ,3.98
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2023,風通しの良さ,4.13
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2024,風通しの良さ,4.57
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2015,社員の相互尊重,3.88
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2016,社員の相互尊重,3.77
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2017,社員の相互尊重,3.59
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2018,社員の相互尊重,3.49
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2019,社員の相互尊重,3.36
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2020,社員の相互尊重,3.57
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2021,社員の相互尊重,3.24
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2022,社員の相互尊重,3.32
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2023,社員の相互尊重,3.38
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2024,社員の相互尊重,4.11
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2015,20代成長環境,3.07
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2016,20代成長環境,3
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2017,20代成長環境,3.13
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2018,20代成長環境,3
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2019,20代成長環境,2.68
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2020,20代成長環境,2.72
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2021,20代成長環境,2.82
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2022,20代成長環境,2.88
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2023,20代成長環境,2.85
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2024,20代成長環境,3
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2015,人材の長期育成,3.2
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2016,人材の長期育成,3
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2017,人材の長期育成,2.91
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2018,人材の長期育成,2.87
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2019,人材の長期育成,2.75
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2020,人材の長期育成,2.92
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2021,人材の長期育成,2.63
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2022,人材の長期育成,2.83
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2023,人材の長期育成,2.8
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2024,人材の長期育成,3
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2015,法令順守意識,4.94
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2016,法令順守意識,4.94
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2017,法令順守意識,4.95
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2018,法令順守意識,4.92
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2019,法令順守意識,4.93
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2020,法令順守意識,4.95
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2021,法令順守意識,4.93
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2022,法令順守意識,4.94
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2023,法令順守意識,4.92
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2024,法令順守意識,5
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2015,人事評価の適正感,2.95
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2016,人事評価の適正感,2.81
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2017,人事評価の適正感,2.73
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2018,人事評価の適正感,2.65
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2019,人事評価の適正感,2.5
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2020,人事評価の適正感,2.38
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2021,人事評価の適正感,2.13
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2022,人事評価の適正感,2.33
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2023,人事評価の適正感,2.4
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2024,人事評価の適正感,2.67
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2015,有給休暇消化率,65
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2016,有給休暇消化率,62.86
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2017,有給休暇消化率,63.18
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2018,有給休暇消化率,61.52
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2019,有給休暇消化率,65
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2020,有給休暇消化率,66.92
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2021,有給休暇消化率,62.5
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2022,有給休暇消化率,60.83
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2023,有給休暇消化率,59
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2024,有給休暇消化率,66.67
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2015,残業時間(月間),25.15
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2016,残業時間(月間),25.86
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2017,残業時間(月間),25.59
2025/6/30,日本取引所グループ,8697,TOPIX Large70,a0C1000000TZ6RR,2018,残業時間(月間),25.78
