date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2015,クチコミ総合評価,3.12
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2016,クチコミ総合評価,3.12
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2017,クチコミ総合評価,3.12
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2018,クチコミ総合評価,3.12
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2019,クチコミ総合評価,3.12
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2020,クチコミ総合評価,3.3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2021,クチコミ総合評価,3.3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2022,クチコミ総合評価,3.48
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2023,クチコミ総合評価,3.51
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2024,クチコミ総合評価,3.47
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2015,待遇面の満足度,3.5
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2016,待遇面の満足度,3.5
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2017,待遇面の満足度,3.5
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2018,待遇面の満足度,3.5
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2019,待遇面の満足度,3.5
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2020,待遇面の満足度,3.59
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2021,待遇面の満足度,3.59
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2022,待遇面の満足度,3.59
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2023,待遇面の満足度,3.61
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2024,待遇面の満足度,3.62
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2015,社員の士気,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2016,社員の士気,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2017,社員の士気,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2018,社員の士気,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2019,社員の士気,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2020,社員の士気,3.37
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2021,社員の士気,3.37
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2022,社員の士気,3.5
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2023,社員の士気,3.56
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2024,社員の士気,3.57
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2015,風通しの良さ,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2016,風通しの良さ,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2017,風通しの良さ,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2018,風通しの良さ,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2019,風通しの良さ,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2020,風通しの良さ,3.37
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2021,風通しの良さ,3.37
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2022,風通しの良さ,3.44
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2023,風通しの良さ,3.5
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2024,風通しの良さ,3.5
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2015,社員の相互尊重,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2016,社員の相互尊重,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2017,社員の相互尊重,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2018,社員の相互尊重,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2019,社員の相互尊重,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2020,社員の相互尊重,3.37
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2021,社員の相互尊重,3.37
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2022,社員の相互尊重,3.5
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2023,社員の相互尊重,3.56
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2024,社員の相互尊重,3.57
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2015,20代成長環境,2.83
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2016,20代成長環境,2.83
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2017,20代成長環境,2.83
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2018,20代成長環境,2.83
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2019,20代成長環境,2.83
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2020,20代成長環境,2.89
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2021,20代成長環境,2.89
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2022,20代成長環境,3.11
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2023,20代成長環境,3.13
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2024,20代成長環境,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2015,人材の長期育成,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2016,人材の長期育成,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2017,人材の長期育成,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2018,人材の長期育成,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2019,人材の長期育成,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2020,人材の長期育成,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2021,人材の長期育成,3
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2022,人材の長期育成,3.29
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2023,人材の長期育成,3.34
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2024,人材の長期育成,3.29
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2015,法令順守意識,3.5
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2016,法令順守意識,3.5
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2017,法令順守意識,3.5
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2018,法令順守意識,3.5
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2019,法令順守意識,3.5
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2020,法令順守意識,3.37
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2021,法令順守意識,3.37
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2022,法令順守意識,3.55
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2023,法令順守意識,3.61
2025/6/30,東京海上ホールディングス,8766,TOPIX Core30,a0910000000Frqm,2024,法令順守意識,3.57
