date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2016,クチコミ総合評価,4.63
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2017,クチコミ総合評価,4.53
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2018,クチコミ総合評価,4.5
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2019,クチコミ総合評価,4.44
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2020,クチコミ総合評価,4.45
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2021,クチコミ総合評価,4.5
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2022,クチコミ総合評価,4.61
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2023,クチコミ総合評価,4.65
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2024,クチコミ総合評価,4.65
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2025,クチコミ総合評価,4.74
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2016,待遇面の満足度,4.42
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2017,待遇面の満足度,4.47
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2018,待遇面の満足度,4.46
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2019,待遇面の満足度,4.45
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2020,待遇面の満足度,4.52
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2021,待遇面の満足度,4.63
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2022,待遇面の満足度,4.6
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2023,待遇面の満足度,4.61
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2024,待遇面の満足度,4.56
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2025,待遇面の満足度,4.86
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2016,社員の士気,4.56
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2017,社員の士気,4.45
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2018,社員の士気,4.43
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2019,社員の士気,4.41
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2020,社員の士気,4.4
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2021,社員の士気,4.45
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2022,社員の士気,4.58
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2023,社員の士気,4.64
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2024,社員の士気,4.6
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2025,社員の士気,4.88
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2016,風通しの良さ,4.34
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2017,風通しの良さ,4.32
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2018,風通しの良さ,4.26
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2019,風通しの良さ,4.25
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2020,風通しの良さ,4.25
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2021,風通しの良さ,4.2
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2022,風通しの良さ,4.3
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2023,風通しの良さ,4.36
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2024,風通しの良さ,4.4
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2025,風通しの良さ,4.62
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2016,社員の相互尊重,4.5
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2017,社員の相互尊重,4.4
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2018,社員の相互尊重,4.38
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2019,社員の相互尊重,4.37
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2020,社員の相互尊重,4.43
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2021,社員の相互尊重,4.59
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2022,社員の相互尊重,4.73
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2023,社員の相互尊重,4.77
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2024,社員の相互尊重,4.76
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2025,社員の相互尊重,4.93
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2016,20代成長環境,4.37
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2017,20代成長環境,4.2
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2018,20代成長環境,4.12
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2019,20代成長環境,3.97
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2020,20代成長環境,3.96
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2021,20代成長環境,4.06
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2022,20代成長環境,4.26
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2023,20代成長環境,4.34
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2024,20代成長環境,4.36
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2025,20代成長環境,4.8
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2016,人材の長期育成,4.39
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2017,人材の長期育成,4.21
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2018,人材の長期育成,4.14
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2019,人材の長期育成,3.95
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2020,人材の長期育成,3.92
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2021,人材の長期育成,4.12
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2022,人材の長期育成,4.24
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2023,人材の長期育成,4.19
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2024,人材の長期育成,4.32
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2025,人材の長期育成,4.62
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2016,法令順守意識,4.59
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2017,法令順守意識,4.53
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2018,法令順守意識,4.61
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2019,法令順守意識,4.58
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2020,法令順守意識,4.53
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2021,法令順守意識,4.48
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2022,法令順守意識,4.59
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2023,法令順守意識,4.58
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2024,法令順守意識,4.62
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2025,法令順守意識,4.5
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2016,人事評価の適正感,3.77
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2017,人事評価の適正感,3.54
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2018,人事評価の適正感,3.48
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2019,人事評価の適正感,3.47
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2020,人事評価の適正感,3.47
2025/6/30,三井不動産,8801,TOPIX Large70,a0910000000Frqy,2021,人事評価の適正感,3.48
