date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2016,クチコミ総合評価,4.21
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2017,クチコミ総合評価,4.31
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2018,クチコミ総合評価,4.18
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2019,クチコミ総合評価,4.23
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2020,クチコミ総合評価,4.18
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2021,クチコミ総合評価,4.44
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2022,クチコミ総合評価,4.45
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2023,クチコミ総合評価,4.56
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2024,クチコミ総合評価,4.65
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2025,クチコミ総合評価,3.84
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2016,待遇面の満足度,4.44
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2017,待遇面の満足度,4.47
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2018,待遇面の満足度,4.33
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2019,待遇面の満足度,4.28
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2020,待遇面の満足度,4.14
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2021,待遇面の満足度,4.26
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2022,待遇面の満足度,4.23
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2023,待遇面の満足度,4.25
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2024,待遇面の満足度,4.47
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2025,待遇面の満足度,4.2
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2016,社員の士気,4.01
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2017,社員の士気,4.04
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2018,社員の士気,3.95
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2019,社員の士気,3.88
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2020,社員の士気,3.85
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2021,社員の士気,4.14
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2022,社員の士気,4.26
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2023,社員の士気,4.36
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2024,社員の士気,4.63
2025/6/30,三菱地所,8802,TOPIX Large70,a0910000000Frqz,2025,社員の士気,4.11
