date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2016,クチコミ総合評価,3.92
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2017,クチコミ総合評価,4
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2018,クチコミ総合評価,3.96
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2019,クチコミ総合評価,4.12
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2020,クチコミ総合評価,4.28
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2021,クチコミ総合評価,4.27
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2022,クチコミ総合評価,4.26
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2023,クチコミ総合評価,4.33
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2024,クチコミ総合評価,4.47
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2025,クチコミ総合評価,4.23
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2016,待遇面の満足度,4.03
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2017,待遇面の満足度,4.03
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2018,待遇面の満足度,3.88
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2019,待遇面の満足度,4
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2020,待遇面の満足度,4.07
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2021,待遇面の満足度,3.97
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2022,待遇面の満足度,3.96
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2023,待遇面の満足度,4.02
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2024,待遇面の満足度,4.08
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2025,待遇面の満足度,3.71
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2016,社員の士気,3.73
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2017,社員の士気,3.8
2025/6/30,東京建物,8804,TOPIX Mid400,a0910000000Frr1,2018,社員の士気,3.82
