date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2016,クチコミ総合評価,2.89
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2017,クチコミ総合評価,2.9
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2018,クチコミ総合評価,2.87
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2019,クチコミ総合評価,2.89
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2020,クチコミ総合評価,2.91
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2021,クチコミ総合評価,2.9
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2022,クチコミ総合評価,2.87
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2023,クチコミ総合評価,2.8
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2024,クチコミ総合評価,2.81
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2025,クチコミ総合評価,2.69
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2016,待遇面の満足度,2.75
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2017,待遇面の満足度,2.78
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2018,待遇面の満足度,2.71
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2019,待遇面の満足度,2.72
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2020,待遇面の満足度,2.74
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2021,待遇面の満足度,2.73
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2022,待遇面の満足度,2.69
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2023,待遇面の満足度,2.6
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2024,待遇面の満足度,2.57
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2025,待遇面の満足度,2.42
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2016,社員の士気,2.84
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2017,社員の士気,2.85
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2018,社員の士気,2.82
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2019,社員の士気,2.78
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2020,社員の士気,2.8
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2021,社員の士気,2.82
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2022,社員の士気,2.79
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2023,社員の士気,2.77
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2024,社員の士気,2.81
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2025,社員の士気,2.71
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2016,風通しの良さ,2.53
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2017,風通しの良さ,2.54
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2018,風通しの良さ,2.56
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2019,風通しの良さ,2.6
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2020,風通しの良さ,2.58
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2021,風通しの良さ,2.63
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2022,風通しの良さ,2.54
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2023,風通しの良さ,2.42
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2024,風通しの良さ,2.38
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2025,風通しの良さ,2.21
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2016,社員の相互尊重,2.32
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2017,社員の相互尊重,2.33
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2018,社員の相互尊重,2.33
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2019,社員の相互尊重,2.28
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2020,社員の相互尊重,2.28
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2021,社員の相互尊重,2.28
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2022,社員の相互尊重,2.22
2025/6/30,住友不動産,8830,TOPIX Large70,a0910000000Frr8,2023,社員の相互尊重,2.25
