date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2014,クチコミ総合評価,3.37
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2015,クチコミ総合評価,3.74
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2016,クチコミ総合評価,3.6
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2017,クチコミ総合評価,3.53
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2018,クチコミ総合評価,3.49
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2019,クチコミ総合評価,3.62
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2020,クチコミ総合評価,3.71
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2021,クチコミ総合評価,3.42
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2022,クチコミ総合評価,3.53
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2023,クチコミ総合評価,3.36
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2014,待遇面の満足度,1.99
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2015,待遇面の満足度,2.2
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2016,待遇面の満足度,2.2
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2017,待遇面の満足度,2.37
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2018,待遇面の満足度,2.25
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2019,待遇面の満足度,2.31
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2020,待遇面の満足度,2.5
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2021,待遇面の満足度,2.5
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2022,待遇面の満足度,2.71
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2023,待遇面の満足度,2.4
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2014,社員の士気,3.21
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2015,社員の士気,3.89
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2016,社員の士気,3.72
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2017,社員の士気,3.58
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2018,社員の士気,3.41
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2019,社員の士気,3.49
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2020,社員の士気,3.76
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2021,社員の士気,3.41
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2022,社員の士気,3.24
2025/6/30,リログループ,8876,TOPIX Mid400,a0910000000Frra,2023,社員の士気,3
