date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2015,クチコミ総合評価,2.93
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2016,クチコミ総合評価,2.88
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2017,クチコミ総合評価,2.86
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2018,クチコミ総合評価,2.83
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2019,クチコミ総合評価,2.81
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2020,クチコミ総合評価,2.76
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2021,クチコミ総合評価,2.76
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2022,クチコミ総合評価,2.81
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2023,クチコミ総合評価,2.88
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2024,クチコミ総合評価,3
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2015,待遇面の満足度,2.84
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2016,待遇面の満足度,2.75
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2017,待遇面の満足度,2.71
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2018,待遇面の満足度,2.67
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2019,待遇面の満足度,2.67
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2020,待遇面の満足度,2.51
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2021,待遇面の満足度,2.52
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2022,待遇面の満足度,2.56
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2023,待遇面の満足度,2.53
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2024,待遇面の満足度,2.88
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2015,社員の士気,2.49
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2016,社員の士気,2.49
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2017,社員の士気,2.43
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2018,社員の士気,2.38
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2019,社員の士気,2.33
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2020,社員の士気,2.26
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2021,社員の士気,2.35
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2022,社員の士気,2.4
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2023,社員の士気,2.4
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2024,社員の士気,2.25
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2015,風通しの良さ,2.74
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2016,風通しの良さ,2.73
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2017,風通しの良さ,2.73
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2018,風通しの良さ,2.67
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2019,風通しの良さ,2.62
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2020,風通しの良さ,2.64
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2021,風通しの良さ,2.68
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2022,風通しの良さ,2.72
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2023,風通しの良さ,3
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2024,風通しの良さ,3.47
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2015,社員の相互尊重,3.35
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2016,社員の相互尊重,3.23
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2017,社員の相互尊重,3.16
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2018,社員の相互尊重,3.13
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2019,社員の相互尊重,3.14
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2020,社員の相互尊重,3.2
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2021,社員の相互尊重,3.31
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2022,社員の相互尊重,3.45
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2023,社員の相互尊重,3.5
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2024,社員の相互尊重,3.68
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2015,20代成長環境,2.42
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2016,20代成長環境,2.33
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2017,20代成長環境,2.35
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2018,20代成長環境,2.31
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2019,20代成長環境,2.24
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2020,20代成長環境,2.18
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2021,20代成長環境,2.19
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2022,20代成長環境,2.28
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2023,20代成長環境,2.33
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2024,20代成長環境,2.38
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2015,人材の長期育成,2.53
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2016,人材の長期育成,2.51
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2017,人材の長期育成,2.57
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2018,人材の長期育成,2.49
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2019,人材の長期育成,2.52
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2020,人材の長期育成,2.41
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2021,人材の長期育成,2.45
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2022,人材の長期育成,2.36
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2023,人材の長期育成,2.53
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2024,人材の長期育成,2.38
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2015,法令順守意識,4.36
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2016,法令順守意識,4.41
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2017,法令順守意識,4.35
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2018,法令順守意識,4.38
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2019,法令順守意識,4.4
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2020,法令順守意識,4.39
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2021,法令順守意識,4.26
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2022,法令順守意識,4.35
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2023,法令順守意識,4.16
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2024,法令順守意識,4.17
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2015,人事評価の適正感,2.33
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2016,人事評価の適正感,2.31
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2017,人事評価の適正感,2.31
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2018,人事評価の適正感,2.33
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2019,人事評価の適正感,2.31
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2020,人事評価の適正感,2.21
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2021,人事評価の適正感,1.97
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2022,人事評価の適正感,1.96
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2023,人事評価の適正感,2.13
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2024,人事評価の適正感,2.13
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2015,有給休暇消化率,72.91
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2016,有給休暇消化率,74.8
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2017,有給休暇消化率,74.8
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2018,有給休暇消化率,75.33
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2019,有給休暇消化率,76.79
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2020,有給休暇消化率,78.21
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2021,有給休暇消化率,79.03
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2022,有給休暇消化率,78.4
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2023,有給休暇消化率,83.33
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2024,有給休暇消化率,86.88
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2015,残業時間(月間),27.74
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2016,残業時間(月間),26.82
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2017,残業時間(月間),27.51
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2018,残業時間(月間),27.51
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2019,残業時間(月間),26.5
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2020,残業時間(月間),25.72
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2021,残業時間(月間),25.26
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2022,残業時間(月間),24.52
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2023,残業時間(月間),23.53
2025/6/30,東武鉄道,9001,TOPIX Mid400,a0910000000FrtN,2024,残業時間(月間),19.75
