date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2016,クチコミ総合評価,2.73
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2017,クチコミ総合評価,2.66
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2018,クチコミ総合評価,2.72
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2019,クチコミ総合評価,2.68
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2020,クチコミ総合評価,2.73
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2021,クチコミ総合評価,2.74
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2022,クチコミ総合評価,2.73
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2023,クチコミ総合評価,2.54
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2024,クチコミ総合評価,2.46
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2025,クチコミ総合評価,2.47
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2016,待遇面の満足度,2.56
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2017,待遇面の満足度,2.45
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2018,待遇面の満足度,2.36
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2019,待遇面の満足度,2.3
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2020,待遇面の満足度,2.24
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2021,待遇面の満足度,2.18
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2022,待遇面の満足度,2.09
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2023,待遇面の満足度,1.96
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2024,待遇面の満足度,2.02
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2025,待遇面の満足度,2.28
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2016,社員の士気,2.24
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2017,社員の士気,2.17
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2018,社員の士気,2.15
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2019,社員の士気,2.2
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2020,社員の士気,2.17
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2021,社員の士気,2.17
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2022,社員の士気,2.2
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2023,社員の士気,2.12
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2024,社員の士気,1.92
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2025,社員の士気,2
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2016,風通しの良さ,2.59
2025/6/30,相鉄ホールディングス,9003,TOPIX Mid400,a0910000000FrtO,2017,風通しの良さ,2.56
