date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2016,クチコミ総合評価,2.75
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2017,クチコミ総合評価,2.78
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2018,クチコミ総合評価,2.81
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2019,クチコミ総合評価,2.79
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2020,クチコミ総合評価,2.71
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2021,クチコミ総合評価,2.63
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2022,クチコミ総合評価,2.63
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2023,クチコミ総合評価,2.64
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2024,クチコミ総合評価,2.66
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2025,クチコミ総合評価,2.5
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2016,待遇面の満足度,2.43
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2017,待遇面の満足度,2.44
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2018,待遇面の満足度,2.41
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2019,待遇面の満足度,2.4
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2020,待遇面の満足度,2.25
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2021,待遇面の満足度,2.23
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2022,待遇面の満足度,2.31
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2023,待遇面の満足度,2.29
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2024,待遇面の満足度,2.4
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2025,待遇面の満足度,2.5
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2016,社員の士気,2.33
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2017,社員の士気,2.3
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2018,社員の士気,2.3
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2019,社員の士気,2.32
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2020,社員の士気,2.31
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2021,社員の士気,2.2
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2022,社員の士気,2.23
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2023,社員の士気,2.32
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2024,社員の士気,2.4
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2025,社員の士気,2
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2016,風通しの良さ,2.79
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2017,風通しの良さ,2.81
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2018,風通しの良さ,2.88
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2019,風通しの良さ,2.88
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2020,風通しの良さ,2.9
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2021,風通しの良さ,2.82
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2022,風通しの良さ,2.79
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2023,風通しの良さ,2.74
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2024,風通しの良さ,2.7
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2025,風通しの良さ,2.75
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2016,社員の相互尊重,3.19
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2017,社員の相互尊重,3.36
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2018,社員の相互尊重,3.56
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2019,社員の相互尊重,3.52
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2020,社員の相互尊重,3.37
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2021,社員の相互尊重,3.41
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2022,社員の相互尊重,3.32
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2023,社員の相互尊重,3.28
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2024,社員の相互尊重,3.1
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2025,社員の相互尊重,3
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2016,20代成長環境,2.41
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2017,20代成長環境,2.37
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2018,20代成長環境,2.36
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2019,20代成長環境,2.33
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2020,20代成長環境,2.31
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2021,20代成長環境,2.3
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2022,20代成長環境,2.35
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2023,20代成長環境,2.47
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2024,20代成長環境,2.55
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2025,20代成長環境,2.25
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2016,人材の長期育成,2.21
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2017,人材の長期育成,2.17
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2018,人材の長期育成,2.18
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2019,人材の長期育成,2.19
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2020,人材の長期育成,2.08
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2021,人材の長期育成,2
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2022,人材の長期育成,2.04
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2023,人材の長期育成,2.03
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2024,人材の長期育成,2.05
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2025,人材の長期育成,2
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2016,法令順守意識,4.06
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2017,法令順守意識,4.21
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2018,法令順守意識,4.2
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2019,法令順守意識,4.19
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2020,法令順守意識,4.1
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2021,法令順守意識,3.74
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2022,法令順守意識,3.69
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2023,法令順守意識,3.62
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2024,法令順守意識,3.62
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2025,法令順守意識,3
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2016,人事評価の適正感,2.17
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2017,人事評価の適正感,2.16
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2018,人事評価の適正感,2.09
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2019,人事評価の適正感,2.02
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2020,人事評価の適正感,1.93
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2021,人事評価の適正感,1.93
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2022,人事評価の適正感,1.94
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2023,人事評価の適正感,2.03
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2024,人事評価の適正感,2.2
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2025,人事評価の適正感,2.5
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2016,有給休暇消化率,68.89
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2017,有給休暇消化率,70.71
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2018,有給休暇消化率,72.68
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2019,有給休暇消化率,75
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2020,有給休暇消化率,75.82
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2021,有給休暇消化率,79.82
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2022,有給休暇消化率,79.17
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2023,有給休暇消化率,75.74
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2024,有給休暇消化率,77.5
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2025,有給休暇消化率,83.75
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2016,残業時間(月間),29.54
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2017,残業時間(月間),30.49
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2018,残業時間(月間),30.41
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2019,残業時間(月間),27.68
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2020,残業時間(月間),26.11
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2021,残業時間(月間),25.77
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2022,残業時間(月間),24.65
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2023,残業時間(月間),27.21
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2024,残業時間(月間),27
2025/6/30,京浜急行電鉄,9006,TOPIX Mid400,a0910000000FrtQ,2025,残業時間(月間),32.5
