date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2016,クチコミ総合評価,3.12
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2017,クチコミ総合評価,3.11
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2018,クチコミ総合評価,3.12
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2019,クチコミ総合評価,3.15
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2020,クチコミ総合評価,3.12
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2021,クチコミ総合評価,3.11
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2022,クチコミ総合評価,3.1
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2023,クチコミ総合評価,3.14
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2024,クチコミ総合評価,3.16
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2025,クチコミ総合評価,3.19
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2016,待遇面の満足度,3.6
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2017,待遇面の満足度,3.57
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2018,待遇面の満足度,3.56
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2019,待遇面の満足度,3.53
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2020,待遇面の満足度,3.41
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2021,待遇面の満足度,3.41
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2022,待遇面の満足度,3.36
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2023,待遇面の満足度,3.48
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2024,待遇面の満足度,3.49
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2025,待遇面の満足度,3.52
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2016,社員の士気,2.57
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2017,社員の士気,2.57
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2018,社員の士気,2.59
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2019,社員の士気,2.64
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2020,社員の士気,2.61
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2021,社員の士気,2.6
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2022,社員の士気,2.58
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2023,社員の士気,2.62
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2024,社員の士気,2.67
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2025,社員の士気,2.69
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2016,風通しの良さ,2.43
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2017,風通しの良さ,2.44
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2018,風通しの良さ,2.49
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2019,風通しの良さ,2.52
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2020,風通しの良さ,2.49
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2021,風通しの良さ,2.47
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2022,風通しの良さ,2.49
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2023,風通しの良さ,2.52
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2024,風通しの良さ,2.54
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2025,風通しの良さ,2.5
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2016,社員の相互尊重,3.76
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2017,社員の相互尊重,3.75
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2018,社員の相互尊重,3.78
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2019,社員の相互尊重,3.85
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2020,社員の相互尊重,3.83
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2021,社員の相互尊重,3.87
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2022,社員の相互尊重,3.88
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2023,社員の相互尊重,3.9
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2024,社員の相互尊重,3.87
2025/6/30,東海旅客鉄道,9022,TOPIX Large70,a0910000000Frta,2025,社員の相互尊重,3.9
