date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2016,クチコミ総合評価,2.96
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2017,クチコミ総合評価,2.94
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2018,クチコミ総合評価,2.93
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2019,クチコミ総合評価,2.95
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2020,クチコミ総合評価,2.91
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2021,クチコミ総合評価,2.91
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2022,クチコミ総合評価,2.96
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2023,クチコミ総合評価,2.98
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2024,クチコミ総合評価,2.97
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2025,クチコミ総合評価,3.19
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2016,待遇面の満足度,3.4
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2017,待遇面の満足度,3.26
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2018,待遇面の満足度,3.17
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2019,待遇面の満足度,3.16
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2020,待遇面の満足度,3.01
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2021,待遇面の満足度,2.96
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2022,待遇面の満足度,2.98
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2023,待遇面の満足度,3.08
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2024,待遇面の満足度,3.06
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2025,待遇面の満足度,3.61
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2016,社員の士気,2.39
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2017,社員の士気,2.38
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2018,社員の士気,2.42
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2019,社員の士気,2.46
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2020,社員の士気,2.46
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2021,社員の士気,2.43
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2022,社員の士気,2.46
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2023,社員の士気,2.5
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2024,社員の士気,2.45
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2025,社員の士気,2.52
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2016,風通しの良さ,2.67
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2017,風通しの良さ,2.68
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2018,風通しの良さ,2.68
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2019,風通しの良さ,2.73
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2020,風通しの良さ,2.72
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2021,風通しの良さ,2.71
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2022,風通しの良さ,2.78
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2023,風通しの良さ,2.76
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2024,風通しの良さ,2.8
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2025,風通しの良さ,3
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2016,社員の相互尊重,3.48
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2017,社員の相互尊重,3.49
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2018,社員の相互尊重,3.58
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2019,社員の相互尊重,3.62
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2020,社員の相互尊重,3.6
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2021,社員の相互尊重,3.53
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2022,社員の相互尊重,3.67
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2023,社員の相互尊重,3.63
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2024,社員の相互尊重,3.6
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2025,社員の相互尊重,3.91
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2016,20代成長環境,2.18
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2017,20代成長環境,2.18
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2018,20代成長環境,2.17
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2019,20代成長環境,2.17
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2020,20代成長環境,2.16
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2021,20代成長環境,2.19
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2022,20代成長環境,2.18
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2023,20代成長環境,2.17
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2024,20代成長環境,2.16
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2025,20代成長環境,2.19
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2016,人材の長期育成,2.53
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2017,人材の長期育成,2.53
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2018,人材の長期育成,2.51
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2019,人材の長期育成,2.46
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2020,人材の長期育成,2.42
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2021,人材の長期育成,2.45
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2022,人材の長期育成,2.51
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2023,人材の長期育成,2.51
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2024,人材の長期育成,2.42
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2025,人材の長期育成,2.62
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2016,法令順守意識,4.24
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2017,法令順守意識,4.25
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2018,法令順守意識,4.24
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2019,法令順守意識,4.26
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2020,法令順守意識,4.3
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2021,法令順守意識,4.34
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2022,法令順守意識,4.42
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2023,法令順守意識,4.42
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2024,法令順守意識,4.47
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2025,法令順守意識,4.34
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2016,人事評価の適正感,2.19
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2017,人事評価の適正感,2.16
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2018,人事評価の適正感,2.14
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2019,人事評価の適正感,2.16
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2020,人事評価の適正感,2.17
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2021,人事評価の適正感,2.2
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2022,人事評価の適正感,2.22
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2023,人事評価の適正感,2.24
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2024,人事評価の適正感,2.34
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2025,人事評価の適正感,2.52
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2016,有給休暇消化率,81.95
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2017,有給休暇消化率,80.76
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2018,有給休暇消化率,80.94
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2019,有給休暇消化率,80.64
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2020,有給休暇消化率,80.26
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2021,有給休暇消化率,80.38
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2022,有給休暇消化率,82.44
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2023,有給休暇消化率,82.38
2025/6/30,東京地下鉄,9023,TOPIX Mid400,a0910000002ns1V,2024,有給休暇消化率,81.09
