date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2016,クチコミ総合評価,2.98
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2017,クチコミ総合評価,2.97
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2018,クチコミ総合評価,2.98
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2019,クチコミ総合評価,3.03
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2020,クチコミ総合評価,3
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2021,クチコミ総合評価,2.96
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2022,クチコミ総合評価,2.97
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2023,クチコミ総合評価,3.09
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2024,クチコミ総合評価,3.25
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2025,クチコミ総合評価,3.44
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2016,待遇面の満足度,3.05
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2017,待遇面の満足度,3.16
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2018,待遇面の満足度,3.28
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2019,待遇面の満足度,3.3
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2020,待遇面の満足度,3.05
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2021,待遇面の満足度,2.93
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2022,待遇面の満足度,2.89
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2023,待遇面の満足度,3
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2024,待遇面の満足度,2.91
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2025,待遇面の満足度,3
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2016,社員の士気,2.34
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2017,社員の士気,2.31
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2018,社員の士気,2.4
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2019,社員の士気,2.47
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2020,社員の士気,2.61
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2021,社員の士気,2.5
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2022,社員の士気,2.5
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2023,社員の士気,2.59
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2024,社員の士気,2.73
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2025,社員の士気,2.67
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2016,風通しの良さ,2.54
2025/6/30,近鉄グループホールディングス,9041,TOPIX Mid400,a0910000000Frtn,2017,風通しの良さ,2.56
