date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2016,クチコミ総合評価,3.45
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2017,クチコミ総合評価,3.4
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2018,クチコミ総合評価,3.39
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2019,クチコミ総合評価,3.37
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2020,クチコミ総合評価,3.46
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2021,クチコミ総合評価,3.51
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2022,クチコミ総合評価,3.59
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2023,クチコミ総合評価,3.51
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2024,クチコミ総合評価,3.44
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2025,クチコミ総合評価,3.68
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2016,待遇面の満足度,3.95
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2017,待遇面の満足度,3.99
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2018,待遇面の満足度,3.91
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2019,待遇面の満足度,3.88
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2020,待遇面の満足度,3.72
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2021,待遇面の満足度,3.8
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2022,待遇面の満足度,3.83
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2023,待遇面の満足度,3.84
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2024,待遇面の満足度,3.65
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2025,待遇面の満足度,3.47
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2016,社員の士気,3.1
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2017,社員の士気,3
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2018,社員の士気,2.96
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2019,社員の士気,2.96
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2020,社員の士気,3.08
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2021,社員の士気,3
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2022,社員の士気,2.94
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2023,社員の士気,3
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2024,社員の士気,3
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2025,社員の士気,3.47
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2016,風通しの良さ,3.47
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2017,風通しの良さ,3.4
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2018,風通しの良さ,3.33
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2019,風通しの良さ,3.24
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2020,風通しの良さ,3.52
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2021,風通しの良さ,3.64
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2022,風通しの良さ,3.83
2025/6/30,阪急阪神ホールディングス,9042,TOPIX Mid400,a0910000000Frto,2023,風通しの良さ,3.58
