date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,京阪ホールディングス,9045,TOPIX Mid400,a0910000000Frtq,2016,クチコミ総合評価,3.37
2025/6/30,京阪ホールディングス,9045,TOPIX Mid400,a0910000000Frtq,2017,クチコミ総合評価,3.35
2025/6/30,京阪ホールディングス,9045,TOPIX Mid400,a0910000000Frtq,2018,クチコミ総合評価,3.23
2025/6/30,京阪ホールディングス,9045,TOPIX Mid400,a0910000000Frtq,2019,クチコミ総合評価,3.1
2025/6/30,京阪ホールディングス,9045,TOPIX Mid400,a0910000000Frtq,2020,クチコミ総合評価,3.05
2025/6/30,京阪ホールディングス,9045,TOPIX Mid400,a0910000000Frtq,2021,クチコミ総合評価,2.99
2025/6/30,京阪ホールディングス,9045,TOPIX Mid400,a0910000000Frtq,2022,クチコミ総合評価,3.21
2025/6/30,京阪ホールディングス,9045,TOPIX Mid400,a0910000000Frtq,2023,クチコミ総合評価,3.3
2025/6/30,京阪ホールディングス,9045,TOPIX Mid400,a0910000000Frtq,2024,クチコミ総合評価,3.57
2025/6/30,京阪ホールディングス,9045,TOPIX Mid400,a0910000000Frtq,2025,クチコミ総合評価,3.9
2025/6/30,京阪ホールディングス,9045,TOPIX Mid400,a0910000000Frtq,2016,待遇面の満足度,2.72
2025/6/30,京阪ホールディングス,9045,TOPIX Mid400,a0910000000Frtq,2017,待遇面の満足度,2.68
2025/6/30,京阪ホールディングス,9045,TOPIX Mid400,a0910000000Frtq,2018,待遇面の満足度,2.54
2025/6/30,京阪ホールディングス,9045,TOPIX Mid400,a0910000000Frtq,2019,待遇面の満足度,2.37
2025/6/30,京阪ホールディングス,9045,TOPIX Mid400,a0910000000Frtq,2020,待遇面の満足度,2.36
2025/6/30,京阪ホールディングス,9045,TOPIX Mid400,a0910000000Frtq,2021,待遇面の満足度,2.19
2025/6/30,京阪ホールディングス,9045,TOPIX Mid400,a0910000000Frtq,2022,待遇面の満足度,2.44
2025/6/30,京阪ホールディングス,9045,TOPIX Mid400,a0910000000Frtq,2023,待遇面の満足度,2.42
2025/6/30,京阪ホールディングス,9045,TOPIX Mid400,a0910000000Frtq,2024,待遇面の満足度,2.17
