date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2016,クチコミ総合評価,2.96
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2017,クチコミ総合評価,2.98
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2018,クチコミ総合評価,2.96
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2019,クチコミ総合評価,2.93
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2020,クチコミ総合評価,2.9
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2021,クチコミ総合評価,2.93
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2022,クチコミ総合評価,2.96
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2023,クチコミ総合評価,2.99
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2024,クチコミ総合評価,3.09
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2025,クチコミ総合評価,3.32
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2016,待遇面の満足度,2.32
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2017,待遇面の満足度,2.37
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2018,待遇面の満足度,2.36
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2019,待遇面の満足度,2.31
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2020,待遇面の満足度,2.24
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2021,待遇面の満足度,2.28
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2022,待遇面の満足度,2.37
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2023,待遇面の満足度,2.47
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2024,待遇面の満足度,2.46
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2025,待遇面の満足度,2.58
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2016,社員の士気,2.57
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2017,社員の士気,2.59
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2018,社員の士気,2.56
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2019,社員の士気,2.52
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2020,社員の士気,2.5
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2021,社員の士気,2.51
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2022,社員の士気,2.56
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2023,社員の士気,2.54
2025/6/30,名古屋鉄道,9048,TOPIX Mid400,a0910000000Frtt,2024,社員の士気,2.69
