date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2016,クチコミ総合評価,3.17
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2017,クチコミ総合評価,3.01
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2018,クチコミ総合評価,2.92
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2019,クチコミ総合評価,2.86
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2020,クチコミ総合評価,2.85
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2021,クチコミ総合評価,2.88
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2022,クチコミ総合評価,2.75
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2023,クチコミ総合評価,2.75
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2024,クチコミ総合評価,2.75
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2025,クチコミ総合評価,2.75
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2016,待遇面の満足度,2.51
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2017,待遇面の満足度,2.21
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2018,待遇面の満足度,2.44
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2019,待遇面の満足度,2.34
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2020,待遇面の満足度,2.21
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2021,待遇面の満足度,2.21
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2022,待遇面の満足度,1.82
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2023,待遇面の満足度,1.82
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2024,待遇面の満足度,1.82
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2025,待遇面の満足度,1.82
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2016,社員の士気,2.9
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2017,社員の士気,2.84
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2018,社員の士気,2.78
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2019,社員の士気,2.74
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2020,社員の士気,2.61
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2021,社員の士気,2.48
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2022,社員の士気,2.21
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2023,社員の士気,2.21
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2024,社員の士気,2.21
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2025,社員の士気,2.21
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2016,風通しの良さ,2.9
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2017,風通しの良さ,2.69
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2018,風通しの良さ,2.66
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2019,風通しの良さ,2.48
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2020,風通しの良さ,2.41
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2021,風通しの良さ,2.21
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2022,風通しの良さ,1.82
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2023,風通しの良さ,1.82
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2024,風通しの良さ,1.82
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2025,風通しの良さ,1.82
2025/6/30,ヤマトホールディングス,9064,TOPIX Mid400,a0910000000Fru7,2016,社員の相互尊重,3.69
