date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2016,クチコミ総合評価,2.65
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2017,クチコミ総合評価,2.68
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2018,クチコミ総合評価,2.65
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2019,クチコミ総合評価,2.67
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2020,クチコミ総合評価,2.67
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2021,クチコミ総合評価,2.65
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2022,クチコミ総合評価,2.64
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2023,クチコミ総合評価,2.56
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2024,クチコミ総合評価,2.47
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2025,クチコミ総合評価,2.47
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2016,待遇面の満足度,1.88
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2017,待遇面の満足度,1.98
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2018,待遇面の満足度,2.04
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2019,待遇面の満足度,2.11
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2020,待遇面の満足度,2.07
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2021,待遇面の満足度,2
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2022,待遇面の満足度,2.06
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2023,待遇面の満足度,1.96
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2024,待遇面の満足度,1.88
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2025,待遇面の満足度,1.86
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2016,社員の士気,2.1
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2017,社員の士気,2.13
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2018,社員の士気,2.16
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2019,社員の士気,2.23
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2020,社員の士気,2.26
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2021,社員の士気,2.18
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2022,社員の士気,2.19
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2023,社員の士気,2.04
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2024,社員の士気,2
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2025,社員の士気,2.29
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2016,風通しの良さ,2.5
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2017,風通しの良さ,2.51
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2018,風通しの良さ,2.45
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2019,風通しの良さ,2.57
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2020,風通しの良さ,2.57
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2021,風通しの良さ,2.56
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2022,風通しの良さ,2.48
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2023,風通しの良さ,2.26
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2024,風通しの良さ,2.18
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2025,風通しの良さ,2.14
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2016,社員の相互尊重,2.64
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2017,社員の相互尊重,2.58
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2018,社員の相互尊重,2.55
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2019,社員の相互尊重,2.57
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2020,社員の相互尊重,2.57
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2021,社員の相互尊重,2.65
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2022,社員の相互尊重,2.55
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2023,社員の相互尊重,2.39
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2024,社員の相互尊重,2.35
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2025,社員の相互尊重,2.43
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2016,20代成長環境,2.5
2025/6/30,ニッコンホールディングス,9072,TOPIX Mid400,a0C1000000vPT6t,2017,20代成長環境,2.62
