date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2016,クチコミ総合評価,2.79
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2017,クチコミ総合評価,2.81
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2018,クチコミ総合評価,2.85
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2019,クチコミ総合評価,2.92
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2020,クチコミ総合評価,2.99
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2021,クチコミ総合評価,2.9
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2022,クチコミ総合評価,2.84
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2023,クチコミ総合評価,2.91
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2024,クチコミ総合評価,2.88
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2025,クチコミ総合評価,3.06
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2016,待遇面の満足度,2.78
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2017,待遇面の満足度,2.71
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2018,待遇面の満足度,2.72
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2019,待遇面の満足度,2.79
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2020,待遇面の満足度,2.74
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2021,待遇面の満足度,2.7
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2022,待遇面の満足度,2.74
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2023,待遇面の満足度,2.78
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2024,待遇面の満足度,2.76
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2025,待遇面の満足度,3.36
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2016,社員の士気,2.72
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2017,社員の士気,2.67
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2018,社員の士気,2.65
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2019,社員の士気,2.67
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2020,社員の士気,2.68
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2021,社員の士気,2.57
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2022,社員の士気,2.56
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2023,社員の士気,2.68
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2024,社員の士気,2.82
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2025,社員の士気,3.12
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2016,風通しの良さ,2.86
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2017,風通しの良さ,2.99
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2018,風通しの良さ,3.07
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2019,風通しの良さ,3.15
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2020,風通しの良さ,3.26
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2021,風通しの良さ,3.15
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2022,風通しの良さ,3.03
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2023,風通しの良さ,3.16
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2024,風通しの良さ,2.97
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2025,風通しの良さ,2.69
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2016,社員の相互尊重,2.93
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2017,社員の相互尊重,3.07
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2018,社員の相互尊重,3.24
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2019,社員の相互尊重,3.38
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2020,社員の相互尊重,3.46
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2021,社員の相互尊重,3.5
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2022,社員の相互尊重,3.4
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2023,社員の相互尊重,3.56
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2024,社員の相互尊重,3.39
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2025,社員の相互尊重,3.36
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2016,20代成長環境,2.56
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2017,20代成長環境,2.53
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2018,20代成長環境,2.49
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2019,20代成長環境,2.48
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2020,20代成長環境,2.49
2025/6/30,セイノーホールディングス,9076,TOPIX Mid400,a0C1000000RMhMQ,2021,20代成長環境,2.37
