date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2016,クチコミ総合評価,3.54
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2017,クチコミ総合評価,3.57
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2018,クチコミ総合評価,3.64
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2019,クチコミ総合評価,3.66
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2020,クチコミ総合評価,3.61
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2021,クチコミ総合評価,3.99
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2022,クチコミ総合評価,4.06
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2023,クチコミ総合評価,3.97
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2024,クチコミ総合評価,4.39
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2025,クチコミ総合評価,4.49
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2016,待遇面の満足度,4.07
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2017,待遇面の満足度,4.11
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2018,待遇面の満足度,4.19
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2019,待遇面の満足度,4.14
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2020,待遇面の満足度,3.9
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2021,待遇面の満足度,4.25
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2022,待遇面の満足度,4.32
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2023,待遇面の満足度,4.38
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2024,待遇面の満足度,4.63
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2025,待遇面の満足度,4.78
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2016,社員の士気,2.85
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2017,社員の士気,2.83
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2018,社員の士気,2.84
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2019,社員の士気,2.98
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2020,社員の士気,2.88
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2021,社員の士気,3.42
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2022,社員の士気,3.61
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2023,社員の士気,3.42
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2024,社員の士気,4.17
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2025,社員の士気,4.11
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2016,風通しの良さ,3.85
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2017,風通しの良さ,3.96
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2018,風通しの良さ,3.99
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2019,風通しの良さ,3.98
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2020,風通しの良さ,3.72
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2021,風通しの良さ,4.11
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2022,風通しの良さ,3.75
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2023,風通しの良さ,3.61
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2024,風通しの良さ,4.35
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2025,風通しの良さ,4.11
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2016,社員の相互尊重,3.73
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2017,社員の相互尊重,3.81
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2018,社員の相互尊重,3.92
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2019,社員の相互尊重,3.84
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2020,社員の相互尊重,3.78
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2021,社員の相互尊重,4.32
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2022,社員の相互尊重,4.32
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2023,社員の相互尊重,4.25
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2024,社員の相互尊重,4.63
2025/6/30,川崎汽船,9107,TOPIX Mid400,a0910000000FruT,2025,社員の相互尊重,4.5
