date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2016,クチコミ総合評価,3.14
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2017,クチコミ総合評価,3.12
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2018,クチコミ総合評価,3.08
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2019,クチコミ総合評価,3.03
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2020,クチコミ総合評価,3.01
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2021,クチコミ総合評価,3
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2022,クチコミ総合評価,2.99
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2023,クチコミ総合評価,3.01
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2024,クチコミ総合評価,3.22
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2025,クチコミ総合評価,3.22
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2016,待遇面の満足度,2.5
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2017,待遇面の満足度,2.45
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2018,待遇面の満足度,2.39
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2019,待遇面の満足度,2.35
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2020,待遇面の満足度,2.32
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2021,待遇面の満足度,2.24
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2022,待遇面の満足度,2.23
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2023,待遇面の満足度,2.34
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2024,待遇面の満足度,2.6
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2025,待遇面の満足度,2.65
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2016,社員の士気,2.79
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2017,社員の士気,2.76
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2018,社員の士気,2.71
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2019,社員の士気,2.64
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2020,社員の士気,2.6
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2021,社員の士気,2.58
2025/6/30,九州旅客鉄道,9142,TOPIX Mid400,a0910000000G0wo,2022,社員の士気,2.56
