date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2016,クチコミ総合評価,2.89
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2017,クチコミ総合評価,2.89
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2018,クチコミ総合評価,2.89
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2019,クチコミ総合評価,2.9
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2020,クチコミ総合評価,2.91
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2021,クチコミ総合評価,2.89
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2022,クチコミ総合評価,2.89
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2023,クチコミ総合評価,2.88
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2024,クチコミ総合評価,2.89
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2025,クチコミ総合評価,2.89
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2016,待遇面の満足度,2.44
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2017,待遇面の満足度,2.45
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2018,待遇面の満足度,2.44
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2019,待遇面の満足度,2.48
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2020,待遇面の満足度,2.46
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2021,待遇面の満足度,2.42
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2022,待遇面の満足度,2.43
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2023,待遇面の満足度,2.37
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2024,待遇面の満足度,2.3
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2025,待遇面の満足度,2.28
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2016,社員の士気,2.48
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2017,社員の士気,2.47
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2018,社員の士気,2.48
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2019,社員の士気,2.51
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2020,社員の士気,2.52
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2021,社員の士気,2.5
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2022,社員の士気,2.49
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2023,社員の士気,2.5
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2024,社員の士気,2.51
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2025,社員の士気,2.44
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2016,風通しの良さ,2.79
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2017,風通しの良さ,2.81
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2018,風通しの良さ,2.82
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2019,風通しの良さ,2.85
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2020,風通しの良さ,2.86
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2021,風通しの良さ,2.88
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2022,風通しの良さ,2.89
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2023,風通しの良さ,2.87
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2024,風通しの良さ,2.88
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2025,風通しの良さ,2.91
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2016,社員の相互尊重,3
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2017,社員の相互尊重,2.99
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2018,社員の相互尊重,3.01
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2019,社員の相互尊重,2.99
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2020,社員の相互尊重,3.04
2025/6/30,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147,TOPIX Mid400,a0910000000Fru5,2021,社員の相互尊重,3.02
