date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2015,クチコミ総合評価,2.94
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2016,クチコミ総合評価,2.94
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2017,クチコミ総合評価,2.97
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2018,クチコミ総合評価,2.95
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2019,クチコミ総合評価,3.04
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2020,クチコミ総合評価,3.15
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2021,クチコミ総合評価,3.21
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2022,クチコミ総合評価,3.28
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2023,クチコミ総合評価,3.23
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2024,クチコミ総合評価,3.05
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2015,待遇面の満足度,3.59
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2016,待遇面の満足度,3.68
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2017,待遇面の満足度,3.8
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2018,待遇面の満足度,3.85
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2019,待遇面の満足度,3.95
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2020,待遇面の満足度,4.07
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2021,待遇面の満足度,4.2
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2022,待遇面の満足度,4.28
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2023,待遇面の満足度,4.26
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2024,待遇面の満足度,4.07
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2015,社員の士気,2.33
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2016,社員の士気,2.31
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2017,社員の士気,2.35
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2018,社員の士気,2.38
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2019,社員の士気,2.51
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2020,社員の士気,2.57
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2021,社員の士気,2.58
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2022,社員の士気,2.63
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2023,社員の士気,2.48
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2024,社員の士気,2.18
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2015,風通しの良さ,2.57
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2016,風通しの良さ,2.56
2025/6/30,三菱倉庫,9301,TOPIX Mid400,a0910000000Frur,2017,風通しの良さ,2.58
