date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2016,クチコミ総合評価,2.53
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2017,クチコミ総合評価,2.58
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2018,クチコミ総合評価,2.49
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2019,クチコミ総合評価,2.53
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2020,クチコミ総合評価,2.58
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2021,クチコミ総合評価,2.59
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2022,クチコミ総合評価,2.71
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2023,クチコミ総合評価,2.8
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2024,クチコミ総合評価,2.84
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2025,クチコミ総合評価,2.76
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2016,待遇面の満足度,2.34
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2017,待遇面の満足度,2.4
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2018,待遇面の満足度,2.42
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2019,待遇面の満足度,2.45
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2020,待遇面の満足度,2.25
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2021,待遇面の満足度,2.24
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2022,待遇面の満足度,2.21
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2023,待遇面の満足度,2.13
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2024,待遇面の満足度,1.91
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2025,待遇面の満足度,2.17
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2016,社員の士気,2.52
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2017,社員の士気,2.6
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2018,社員の士気,2.53
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2019,社員の士気,2.48
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2020,社員の士気,2.61
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2021,社員の士気,2.6
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2022,社員の士気,2.74
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2023,社員の士気,2.81
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2024,社員の士気,2.91
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2025,社員の士気,2.67
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2016,風通しの良さ,2.48
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2017,風通しの良さ,2.58
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2018,風通しの良さ,2.45
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2019,風通しの良さ,2.45
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2020,風通しの良さ,2.32
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2021,風通しの良さ,2.32
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2022,風通しの良さ,2.37
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2023,風通しの良さ,2.44
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2024,風通しの良さ,2.36
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2025,風通しの良さ,2.5
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2016,社員の相互尊重,2.64
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2017,社員の相互尊重,2.71
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2018,社員の相互尊重,2.47
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2019,社員の相互尊重,2.48
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2020,社員の相互尊重,2.57
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2021,社員の相互尊重,2.64
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2022,社員の相互尊重,2.68
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2023,社員の相互尊重,2.81
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2024,社員の相互尊重,3.18
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2025,社員の相互尊重,3
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2016,20代成長環境,2.83
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2017,20代成長環境,2.83
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2018,20代成長環境,2.65
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2019,20代成長環境,2.63
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2020,20代成長環境,2.53
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2021,20代成長環境,2.47
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2022,20代成長環境,2.56
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2023,20代成長環境,2.74
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2024,20代成長環境,2.62
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2025,20代成長環境,2.59
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2016,人材の長期育成,2.19
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2017,人材の長期育成,2.2
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2018,人材の長期育成,2.13
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2019,人材の長期育成,2.1
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2020,人材の長期育成,2.14
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2021,人材の長期育成,2.12
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2022,人材の長期育成,2.37
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2023,人材の長期育成,2.5
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2024,人材の長期育成,2.55
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2025,人材の長期育成,2.5
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2016,法令順守意識,2.93
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2017,法令順守意識,3.04
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2018,法令順守意識,3.05
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2019,法令順守意識,3.31
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2020,法令順守意識,3.77
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2021,法令順守意識,3.84
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2022,法令順守意識,4.06
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2023,法令順守意識,4.22
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2024,法令順守意識,4.4
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2025,法令順守意識,3.88
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2016,人事評価の適正感,2.31
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2017,人事評価の適正感,2.27
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2018,人事評価の適正感,2.21
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2019,人事評価の適正感,2.19
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2020,人事評価の適正感,2.21
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2021,人事評価の適正感,2.2
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2022,人事評価の適正感,2.42
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2023,人事評価の適正感,2.44
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2024,人事評価の適正感,2.45
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2025,人事評価の適正感,2.5
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2016,有給休暇消化率,32.67
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2017,有給休暇消化率,34.56
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2018,有給休暇消化率,38.03
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2019,有給休暇消化率,40.65
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2020,有給休暇消化率,46.25
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2021,有給休暇消化率,47.4
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2022,有給休暇消化率,59.21
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2023,有給休暇消化率,56.25
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2024,有給休暇消化率,57.27
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2025,有給休暇消化率,63.33
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2016,残業時間(月間),41.83
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2017,残業時間(月間),41.62
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2018,残業時間(月間),44.42
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2019,残業時間(月間),45.65
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2020,残業時間(月間),43.21
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2021,残業時間(月間),44
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2022,残業時間(月間),37.37
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2023,残業時間(月間),35
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2024,残業時間(月間),31.82
2025/6/30,上組,9364,TOPIX Mid400,a0910000000FrvM,2025,残業時間(月間),38.33
