date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2016,クチコミ総合評価,3.77
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2017,クチコミ総合評価,3.76
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2018,クチコミ総合評価,3.76
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2019,クチコミ総合評価,3.7
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2020,クチコミ総合評価,3.75
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2021,クチコミ総合評価,3.77
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2022,クチコミ総合評価,3.68
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2023,クチコミ総合評価,3.68
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2024,クチコミ総合評価,3.77
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2025,クチコミ総合評価,3.5
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2016,待遇面の満足度,3.39
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2017,待遇面の満足度,3.38
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2018,待遇面の満足度,3.34
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2019,待遇面の満足度,3.15
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2020,待遇面の満足度,3.13
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2021,待遇面の満足度,3.13
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2022,待遇面の満足度,3.06
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2023,待遇面の満足度,3.08
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2024,待遇面の満足度,2.97
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2025,待遇面の満足度,2.94
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2016,社員の士気,3.18
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2017,社員の士気,3.18
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2018,社員の士気,3.11
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2019,社員の士気,3.09
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2020,社員の士気,3.15
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2021,社員の士気,3.15
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2022,社員の士気,3.14
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2023,社員の士気,3.3
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2024,社員の士気,3.3
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2025,社員の士気,3.12
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2016,風通しの良さ,3.62
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2017,風通しの良さ,3.68
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2018,風通しの良さ,3.73
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2019,風通しの良さ,3.7
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2020,風通しの良さ,3.76
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2021,風通しの良さ,3.77
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2022,風通しの良さ,3.59
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2023,風通しの良さ,3.51
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2024,風通しの良さ,3.58
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2025,風通しの良さ,3.12
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2016,社員の相互尊重,3.5
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2017,社員の相互尊重,3.49
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2018,社員の相互尊重,3.52
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2019,社員の相互尊重,3.63
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2020,社員の相互尊重,3.64
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2021,社員の相互尊重,3.7
2025/6/30,日本電信電話,9432,TOPIX Core30,a0910000000Frvu,2022,社員の相互尊重,3.54
