date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2016,クチコミ総合評価,3.6
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2017,クチコミ総合評価,3.63
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2018,クチコミ総合評価,3.64
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2019,クチコミ総合評価,3.67
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2020,クチコミ総合評価,3.72
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2021,クチコミ総合評価,3.77
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2022,クチコミ総合評価,3.78
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2023,クチコミ総合評価,3.84
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2024,クチコミ総合評価,3.95
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2025,クチコミ総合評価,4
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2016,待遇面の満足度,3.14
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2017,待遇面の満足度,3.18
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2018,待遇面の満足度,3.18
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2019,待遇面の満足度,3.16
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2020,待遇面の満足度,3.23
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2021,待遇面の満足度,3.3
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2022,待遇面の満足度,3.24
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2023,待遇面の満足度,3.23
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2024,待遇面の満足度,3.28
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2025,待遇面の満足度,3.29
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2016,社員の士気,3.39
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2017,社員の士気,3.43
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2018,社員の士気,3.38
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2019,社員の士気,3.38
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2020,社員の士気,3.42
2025/6/30,ソフトバンク,9434,TOPIX Core30,a0910000000G1So,2021,社員の士気,3.45
